STMN1,SOX4,TGFBI,TSPAN7,S100A13,LYN,SMARCD1,SSBP2,JADE3,CTSG,NPY,PF4,NAALADL1,SPP1,IRX5,DNTT,ZNF423,TRAF3IP2,ABCC6,ADA,LPAR6,SEMA4C,target
11.1895,11.7655,6.41529,8.68151,6.46676,4.43248,8.28207,6.6338,4.62251,6.12259,5.39815,5.90345,5.7756,4.35181,8.08417,11.7066,10.159,8.85727,4.76339,11.5307,4.18927,5.36151,1
30349.6227141356,26263.4135397701,33.7668100778638,2277.49899992823,46.2620610938591,104.042025301567,3721.73772341782,5023.23594521022,716.276616937498,712.852956793586,0.0,2.96155202365439,8.41329308648134,9.71721495991245,275.50590341694,19114.483075038,2.29632391074379,1542.84843633836,61.9996057309631,10795.6515197847,6459.49469251156,34.2953699734097,1
7.5378,9.38188,11.454,4.01707,6.62373,10.6282,6.81966,8.24988,4.13903,6.24051,4.51714,10.7802,5.65324,3.58461,3.8784,5.93753,3.82193,7.85729,4.13999,8.52713,10.1263,7.41025,0
10.8763,12.474,6.30705,10.4205,6.42099,6.78313,7.94628,10.2379,6.76174,4.85377,4.88948,6.36287,4.66708,4.00979,5.46325,12.6184,10.0992,8.26569,4.29419,12.4445,11.6214,5.81263,1
9.34960456653386,9.18830788400454,6.75167300332136,7.23835176116385,7.21151507551704,8.69952622294402,8.11807619401109,7.94788793968198,5.66385308634025,12.2123901685711,9.703502888016,8.5370853944062,5.31253947256248,4.88879758912564,8.09897905400608,8.32925471195976,7.01858140401239,9.27236059969247,6.24985602958646,7.53740740401225,9.47806623957655,7.0741830960329,1
8.21586,11.5707,5.24089,6.78101,8.76282,9.8408,8.45138,10.062,6.60868,6.19487,8.22224,6.17785,4.8154,3.84704,6.40294,8.3446,9.18929,10.0544,4.36424,10.5414,9.24391,7.22549,1
8.34558592987497,11.2684888436345,6.77777713158386,8.03449650045484,8.03008985103185,6.5138179234332,7.31644830477035,9.28169336051757,5.77958077103239,9.91180436327184,8.5998545496123,7.55901323830366,5.58143753403549,5.27512089294045,5.32825616070247,12.2803498274575,7.18401254513671,10.5282944705116,5.95632866140689,9.70046262644418,9.88474118651019,7.42691448184416,1
9.62861,12.2977,6.24521,4.29652,8.64887,9.40298,7.92525,11.1569,8.37775,9.02289,7.39705,5.74578,4.65253,4.04327,4.337,10.8813,7.85406,10.2916,3.97534,11.4553,7.32239,6.74839,1
10.8974,12.5791,11.2882,3.71875,9.2478,9.85884,8.24132,8.85335,5.77557,6.98148,4.73055,5.85062,4.8896,5.09682,6.4178,9.36103,3.76278,6.95638,4.47257,11.3215,4.10973,6.47468,1
10.0224,11.8852,5.73903,8.91463,10.0456,8.6747,8.50648,10.3629,6.30861,5.45838,6.54875,7.21104,5.24621,4.14815,4.42802,13.158,7.87993,10.1626,3.99232,10.3827,10.5366,6.15611,1
10.0597,12.5543,5.49004,9.7815,9.00975,8.32832,7.35481,9.16063,8.03184,11.0127,10.1246,9.17049,4.91152,4.20573,4.21007,13.1797,8.31314,9.87641,4.25176,10.7808,10.7978,6.64894,1
