STMN1,SOX4,TGFBI,TSPAN7,S100A13,LYN,SMARCD1,SSBP2,JADE3,CTSG,NPY,PF4,NAALADL1,SPP1,IRX5,DNTT,ZNF423,TRAF3IP2,ABCC6,ADA,LPAR6,SEMA4C,target
7.36864657072327,7.9724305360556,10.5953684686628,5.88290533332144,6.78139001823996,8.99115132620755,7.16923602933969,7.01220940442424,4.92434605058597,6.54616686028225,5.74942099978793,11.7261325378882,6.18263077999847,4.45000746145971,4.93941766811681,5.49730658634794,5.01420347736418,8.24109971280642,6.22804402604254,7.95693971574391,8.05126246792051,8.10789377348965,0
9.37722,11.7436,6.35246,9.04086,9.22396,5.63561,7.25211,9.36917,7.06674,4.98426,11.9757,5.45335,5.05327,5.37891,4.29112,13.5806,8.67916,9.0655,4.80523,11.2518,10.4559,5.44655,1
8.05276,12.46,6.30853,8.19731,5.22086,6.67842,6.85168,7.05958,6.08822,6.49384,5.34444,5.5893,4.83922,3.88919,5.27537,6.02368,4.30343,7.86079,5.13583,9.86772,9.77317,6.24246,1
9.25943,13.0234,5.18814,4.47275,9.10885,7.25259,8.31923,10.5954,6.57268,7.49506,6.8989,7.1747,4.78695,4.09854,4.67245,12.5683,10.763,9.16812,4.30503,11.1485,8.96822,10.3046,1
9.78115,11.933,5.86499,3.83996,8.2468,8.49572,8.65287,10.6538,8.9145,6.6451,10.8107,5.61763,4.42185,6.34606,4.95198,13.4431,7.31757,10.2414,3.71597,11.5221,9.67262,7.56069,1
8.16951331812963,8.24187201699617,10.6622455994339,5.35195870452269,6.79185199508951,9.02629805407447,6.33997350985453,7.60023784635895,4.56804140696932,6.81184700668205,5.198376409049,10.4845096966295,6.25525860206284,4.65413777014586,4.70572962283229,5.24262091838776,4.8363447605123,8.62885460678267,5.60325090145116,8.34483006636034,8.51889018385712,8.37486479608775,0
8.49748,11.8804,8.49677,7.67972,10.0836,9.78155,8.00891,10.6991,6.76825,12.1225,4.88647,6.11638,5.81842,4.83466,4.14845,12.8207,9.57265,9.90581,4.97988,9.92687,11.4839,6.30786,1
7.67663,11.9704,9.32593,4.03886,8.12301,10.5503,8.04458,7.94197,4.54217,10.6661,5.33994,8.9655,5.48037,6.20605,5.5107,8.82039,6.01281,8.37828,4.61206,9.59593,6.69251,7.68934,1
7.74695,11.9093,5.35422,6.78351,8.65469,9.00437,7.93295,9.98993,7.53327,6.69392,6.09237,5.98031,5.24936,4.24109,10.0636,4.79983,4.53041,9.25314,3.59701,8.58579,8.76828,6.32163,1
9.04698,11.7912,6.45194,8.33987,9.85582,6.84659,7.99035,10.7082,5.88451,8.53462,6.24293,6.25315,6.0808,4.38926,4.98797,13.231,9.14305,9.67026,4.38044,11.0363,11.4522,5.11664,1
6.48258,5.99585,10.6499,4.40198,6.20103,10.1205,7.31214,7.27551,3.98312,5.37185,4.72422,10.3957,4.95926,4.33946,3.86261,4.74601,3.78665,7.15775,5.24196,8.49543,8.07961,7.61678,0
10.4348,11.8093,5.85916,9.09519,5.70825,4.67418,8.41945,8.40842,6.28503,6.19704,5.01208,7.00586,4.42142,4.28553,7.3803,10.0672,9.55191,9.06322,4.7446,11.9104,10.0882,6.58076,1
11.6615,12.5914,6.64856,9.7748,6.22755,7.34348,7.94684,10.3067,7.97234,7.65681,4.1662,5.91156,4.60978,4.21011,7.40695,12.1804,10.9945,8.43998,4.04936,12.088,10.832,6.72096,1
10.4056,12.2217,6.90288,9.14051,6.39232,9.03759,8.08791,9.45511,6.77183,12.1602,5.25946,8.742,4.76968,4.81753,8.26362,12.5632,8.95509,7.94178,4.6827,12.6298,10.7752,6.1595,1
7.41349,10.4409,5.55865,6.12404,7.27115,5.4308,7.01091,9.774,5.05758,5.60093,9.57386,5.35225,5.31993,4.40809,3.9998,12.8371,5.90692,8.28288,4.872,10.5947,8.98986,5.43155,1
6.17638,7.31832,10.9586,4.34273,5.79783,10.184,6.77337,8.11885,4.3193,5.99915,4.64467,12.4792,5.81894,3.35477,4.07536,5.13164,3.86177,7.64432,4.76337,8.73542,11.0691,7.92739,0
10.635,10.6007,5.3839,4.62626,6.77266,10.1688,7.1647,8.22962,6.95671,9.86151,4.57887,7.21242,5.33433,4.21934,4.52899,10.6269,3.61602,7.73631,3.91666,9.4509,4.73208,9.06866,0
