CCL5,TGFBI,PRAME,APOC4-APOC2,WT1,GP1BB,FLT3,ASAH1,TRBV21-1,AKTIP,DEPTOR,C3orf14,CXorf57,PCDH9,target
6.81239284445096,6.335604623844628,5.52980506032838,7.515147739597008,7.194394831277631,6.982233181798941,10.7540243733919,8.894945106815381,5.4377640625767185,6.391094796845191,8.69673320518192,4.38122965356714,4.11452929104589,5.746948772581638,1
8.08118,5.93016,4.5106199999999985,5.53346,9.4961,5.610130000000002,11.2985,9.94883,4.1032,5.21298,8.94833,3.48169,4.35757,5.53831,1
8.75913,6.13532,4.44412,7.47624,9.37048,5.7957800000000015,10.4377,9.32732,4.04695,5.3604,7.26283,3.89889,4.60965,8.28187,1
5.86658,10.8134,4.15319,6.15934,3.4303,4.36238,9.49538,10.5134,3.912,6.4031400000000005,8.32274,3.42369,3.9536,4.82026,1
675.8684308869509,13.3969199775093,8.421559006806769,38.775338683712896,1361.0026505138499,0.0,17483.0031143063,3967.92459435101,0.898441766218667,222.96164696871898,1408.82156116369,0.0857460527721843,2.13972654487081,107.666896967363,1
7.262381726285058,6.34259615103058,8.94989067688727,8.51298699943223,6.3818325751454115,7.373941578225732,10.170522976070801,9.013093967029368,5.4277574990260185,6.1691271421426785,7.5855222458259295,4.5396978984485,4.2955186089938,5.62583557354586,1
11.4216,9.47388,4.06415,5.8840900000000005,3.48136,7.769430000000002,5.28759,10.6251,4.44303,8.01324,5.35792,5.56049,6.14526,6.78538,0
6.42021,5.85809,7.193230000000002,7.75943,7.982839999999999,5.5224400000000005,10.8437,9.13626,3.86003,4.8487300000000015,6.6158899999999985,3.92482,3.90067,4.56232,1
6.0865955948161,6.36893858048355,5.5813013484523495,9.999236288588301,6.628582636248809,10.5281114261143,6.451813065810652,9.12551146183873,5.47903803279286,6.14708369948372,8.30529094893758,4.42252761707712,4.08569704476012,8.721698059301941,1
7.3616321115881505,6.24929110263165,7.818215160544589,9.108298082972881,7.07944681692672,7.0895793000612,10.2305312957413,8.609320529324469,5.602084945429982,5.890965534975848,8.25570111105679,4.6053825346016,4.33335879812939,5.82022874861621,1
9.56715,10.0741,3.83075,5.74648,2.93089,6.3599,5.016,8.44174,4.5563400000000005,7.2667,4.9012,5.59552,6.26486,6.45481,0
9.13727,5.2821,7.394710000000001,6.608,5.61676,8.03773,8.556989999999999,6.85416,4.33765,4.98946,11.3862,4.15563,3.80495,4.23864,1
207.802149178093,683.404306234446,5.576577962151831,0.705083392939215,31.9852018761511,0.0,12227.0145864658,3951.3491934838494,1.37723565477955,266.389895412262,2185.1708748464303,1.09567514671674,3.8523201341334095,14.2555150552508,1
6.5142228335219015,6.51519155192755,5.76007855494572,7.24356315636955,6.3185841856908285,6.11980771416823,8.653112638742389,8.03817408720484,5.6587639798201295,6.351397628101242,5.80534991118445,4.72147661465156,4.59593853740637,5.99367790190523,1
8.21217164646389,9.16083441030618,5.644704460780928,7.0999201301861286,4.59449462305029,8.13941623698433,8.741047043747459,7.892663135502829,5.5169973660876215,6.512470057423951,7.94315878538836,5.49876096361745,4.92631957790381,7.880689254218072,1
9.219666258359972,6.72615125195457,6.080778480695361,9.793936279188667,5.73352716265225,8.45940855151156,8.61917734821326,8.942642669223071,5.13711488476465,6.3591923681496905,9.946627829828019,4.6361161860416695,4.2655316764856,5.57372373748149,1
