STMN1,SDCBP,CST3,SOX4,TGFBI,AEBP1,TSPAN7,RER1,IFI27,S100A13,LYN,DBN1,CD93,SIRPA,SMARCD1,SSBP2,MPO,P2RX4,JADE3,BCHE,MEOX1,CTSG,EREG,ADAM28,NPY,RHAG,PF4,APMAP,CEACAM8,CCR2,DEFA4,MMP8,NAALADL1,S100A11P1,PSMA6,THY1,SLC1A5,CES1P1,SPP1,SEC31B,GABPAP,IRX5,DNTT,IGHV3-23,ATP6V0A1,GPS2,GYPB,ZNF423,ADAM10,TRAF3IP2,ABCC6,ADA,ENAH,LPAR6,TMEM106B,DPPA4,CD244,ARPP21,VRTN,FOXRED2,ASTE1,SEMA4C,target
7.36864657072327,10.7754899628615,11.1609838355675,7.9724305360556,10.5953684686628,7.30015553455804,5.88290533332144,8.13318449749593,5.92643226367785,6.78139001823996,8.99115132620755,6.31600849635962,9.71066904075594,8.14550775159091,7.16923602933969,7.01220940442424,5.86613595158501,8.09366218250391,4.92434605058597,3.94055753905107,4.2607712836747,6.54616686028225,4.02935121023913,6.93848205496908,5.74942099978793,3.89922549464676,11.7261325378882,9.76296078008962,4.45293232578776,9.50349358697648,6.5678428043548,5.4999103812338,6.18263077999847,9.24234504985685,9.93301552306276,6.51152618764731,7.8367845955009,6.7862094147124,4.45000746145971,7.77818964182091,5.82724229127924,4.93941766811681,5.49730658634794,9.03874863659066,8.57932725209129,7.22595991446989,6.24984294962875,5.01420347736418,7.13653107616665,8.24109971280642,6.22804402604254,7.95693971574391,4.59992390604655,8.05126246792051,5.59725628774971,4.28923598958951,8.6010828995792,4.36099991871991,6.48091865586882,6.24049999280704,7.46352206418625,8.10789377348965,0
9.37722,7.8506,5.4415,11.7436,6.35246,7.83464,9.04086,8.03836,8.9759,9.22396,5.63561,9.24176,6.51576,6.12843,7.25211,9.36917,8.81987,7.5695,7.06674,2.73287,4.09978,4.98426,3.52538,4.43225,11.9757,6.7992,5.45335,7.71484,3.65124,4.62084,4.95511,3.97514,5.05327,5.94946,13.027,6.1623,7.48023,4.75229,5.37891,7.72806,7.22331,4.29112,13.5806,5.79033,6.48007,8.59383,7.28895,8.67916,5.80829,9.0655,4.80523,11.2518,6.557,10.4559,6.97004,3.84759,5.05312,4.95845,6.14401,6.81693,5.78538,5.44655,1
8.05276,11.1993,5.0371,12.46,6.30853,8.79783,8.19731,5.40851,5.23375,5.22086,6.67842,7.51633,6.51938,5.52516,6.85168,7.05958,5.70147,6.18401,6.08822,2.93699,4.24952,6.49384,4.53779,5.32131,5.34444,3.94467,5.5893,7.17772,3.62686,4.33456,4.96248,3.97924,4.83922,6.2106,11.4833,5.74342,5.06027,5.14774,3.88919,7.04151,7.01652,5.27537,6.02368,5.78821,7.95961,7.35313,5.99473,4.30343,6.38356,7.86079,5.13583,9.86772,6.20768,9.77317,6.5905,3.65083,6.81372,7.97659,6.9489,6.02354,5.59378,6.24246,1
9.25943,9.49666,6.15471,13.0234,5.18814,10.7141,4.47275,7.47494,5.54439,9.10885,7.25259,10.0647,5.13508,5.38843,8.31923,10.5954,5.35008,7.0041,6.57268,3.27537,4.10932,7.49506,4.06282,4.31516,6.8989,5.92059,7.1747,7.3738,6.4615,4.40298,8.36665,8.31041,4.78695,6.23657,12.3045,5.36881,6.61941,5.45374,4.09854,7.15036,7.78933,4.67245,12.5683,5.7124,7.06649,8.29684,7.21986,10.763,6.79904,9.16812,4.30503,11.1485,8.44419,8.96822,7.39262,3.32758,5.6157,10.5103,6.38996,5.59163,5.45234,10.3046,1
9.78115,8.47532,5.94984,11.933,5.86499,10.046,3.83996,8.27541,6.35668,8.2468,8.49572,9.41337,5.79473,4.47281,8.65287,10.6538,6.79098,5.81419,8.9145,2.93216,4.43593,6.6451,3.7677,4.42286,10.8107,3.9258,5.61763,10.1293,5.73936,4.0048,8.03695,7.58813,4.42185,5.35368,12.4297,5.62376,6.44933,5.93962,6.34606,9.38575,7.10034,4.95198,13.4431,5.02829,6.10374,7.91224,5.78714,7.31757,4.32438,10.2414,3.71597,11.5221,7.29481,9.67262,4.77313,3.66627,4.92113,9.05623,6.92228,7.34837,4.95856,7.56069,1
8.16951331812963,10.4777006745068,10.2809375624641,8.24187201699617,10.6622455994339,7.7068829434069,5.35195870452269,8.24481262754562,5.59819075925406,6.79185199508951,9.02629805407447,5.65689855800327,9.93901610856795,8.39211517156415,6.33997350985453,7.60023784635895,5.66816414336338,8.07778243523559,4.56804140696932,3.89499334310347,4.84471385248812,6.81184700668205,3.95560841437279,7.31581443083861,5.198376409049,3.69929456086045,10.4845096966295,9.44913282183722,4.67268375218261,10.269642451921,6.89490542013576,5.09419657157338,6.25525860206284,8.29682404902137,10.898506978511,6.33740485279559,7.63772543352069,8.09325304283449,4.65413777014586,7.6224600288763,5.55588222445859,4.70572962283229,5.24262091838776,7.88442863062044,8.78161672382484,8.07982329155755,5.57098224656278,4.8363447605123,6.11808259023088,8.62885460678267,5.60325090145116,8.34483006636034,4.88308763728669,8.51889018385712,6.50050665208631,4.43035803135682,8.69400345733399,4.18233069421143,6.7020145489545,5.773482595878,8.06029166983556,8.37486479608775,0
8.49748,10.0458,9.42947,11.8804,8.49677,8.52331,7.67972,8.57746,6.47203,10.0836,9.78155,8.83783,7.22753,7.59407,8.00891,10.6991,9.95863,8.22307,6.76825,2.99716,4.39729,12.1225,4.23606,5.63468,4.88647,3.17392,6.11638,10.1621,11.2182,4.01583,12.2747,10.9852,5.81842,8.56128,12.4648,5.75107,6.18953,5.3343,4.83466,7.3668,5.98426,4.14845,12.8207,5.98784,6.63699,8.45722,5.7756,9.57265,6.75109,9.90581,4.97988,9.92687,6.28252,11.4839,7.16524,3.27124,6.94104,4.21291,6.36428,6.52664,5.9987,6.30786,1
7.67663,10.7012,10.1275,11.9704,9.32593,8.07802,4.03886,8.13485,6.26266,8.12301,10.5503,7.21818,7.65612,8.80185,8.04458,7.94197,9.80009,7.93882,4.54217,2.79337,4.73798,10.6661,9.51178,7.84131,5.33994,5.73013,8.9655,10.4249,10.2757,3.80456,11.9034,11.4518,5.48037,9.98176,11.2939,5.68398,7.02654,8.18536,6.20605,7.99959,6.54541,5.5107,8.82039,7.13824,7.84356,8.04634,6.95713,6.01281,4.37758,8.37828,4.61206,9.59593,5.50335,6.69251,6.68524,3.12791,5.07172,4.17292,6.34809,6.31908,7.27021,7.68934,1
7.74695,9.82296,8.3547,11.9093,5.35422,8.09674,6.78351,7.78843,4.97003,8.65469,9.00437,6.37969,6.66968,5.88362,7.93295,9.98993,5.65834,7.6788,7.53327,3.05114,4.40202,6.69392,8.7829,4.75328,6.09237,3.61255,5.98031,9.34476,5.70561,3.41038,7.68711,6.7068,5.24936,5.8986,11.85,5.77053,8.25706,5.1553,4.24109,7.92466,7.25142,10.0636,4.79983,5.6884,6.48356,7.7601,5.02195,4.53041,7.64191,9.25314,3.59701,8.58579,3.69975,8.76828,6.38377,3.35885,4.78212,5.24396,6.6621,6.24091,6.76849,6.32163,1
9.04698,6.99395,6.42337,11.7912,6.45194,8.47498,8.33987,7.57948,4.9222,9.85582,6.84659,8.91531,4.51657,6.86066,7.99035,10.7082,6.91458,7.25536,5.88451,2.78095,4.1555,8.53462,4.21132,5.19752,6.24293,3.61715,6.25315,8.3651,7.28927,3.54348,10.4097,6.65516,6.0808,6.05489,12.6425,6.83522,6.95376,5.26116,4.38926,7.62886,5.64252,4.98797,13.231,5.4555,6.299,7.94715,5.41082,9.14305,5.25942,9.67026,4.38044,11.0363,3.99761,11.4522,6.49634,3.34133,5.40308,9.46771,6.65752,6.42879,5.4907,5.11664,1
