CCL5,HLA-E,RCN1,TGFBI,MYBL2,CD14,NUP214,COMMD3-BMI1,FNDC3A,EPS8,LIG1,TRAFD1,IGF1R,PRAME,P2RX4,APOC1,APOC4-APOC2,TFF3,FPR1,HOXB6,FAM50B,WT1,CCR7,GP1BB,FLT3,EDIL3,GPR171,MAML3,GLRX,STK16,CDKN2A,ASAH1,FN1,TBC1D9B,ALDH1A1,LCN2,OLFM4,COL4A5,CDC42BPA,GPR65,CHRM3,HOXA1,TRAV8-3,HBBP1,TRBV21-1,GOLM1,BZW2,DSG2,DCTN4,AKTIP,DNAAF5,LPAR6,PACSIN3,SMYD3,DEPTOR,TIMM22,C3orf14,CXorf57,SLC27A5,PCDH9,NUDT11,VPREB3,PDZRN4,SPX,VPREB1,CDCA8,GDF15,CLIC4P1,SH3BP4,TCL1A,target
7.73508,8.35941,7.6977,5.61294,7.13477,4.80737,7.60635,9.54978,8.0759,3.29086,8.38406,6.35501,5.20631,8.33589,8.162469999999999,5.69062,6.57137,6.2560400000000005,5.73159,4.0909900000000015,6.05155,4.59565,4.93264,5.92976,7.451980000000002,3.3584,4.45109,5.63724,6.18896,5.35176,5.9961699999999984,5.94163,4.2607599999999985,8.65865,3.86133,5.30837,2.9385,3.66569,4.205030000000002,5.57587,3.36346,4.77927,4.61559,4.47043,4.20222,4.35762,9.63244,3.78454,5.15729,4.3179,7.24678,7.49021,5.19338,6.24605,9.80398,6.4581,4.31696,3.53157,5.95522,4.4520300000000015,4.15223,4.7916,2.95606,2.90167,4.46856,7.11583,4.74003,6.988169999999998,3.79839,4.7027,1
11.7106,11.6509,7.06893,11.454,6.37585,11.4166,8.98971,10.2259,8.26882,6.17705,7.1635300000000015,7.89858,8.00158,4.30768,8.19029,5.5183300000000015,5.22388,5.3834300000000015,11.1939,4.13331,6.5442,3.61959,10.3919,6.6673,6.89418,3.20401,10.0191,6.78252,10.4231,7.14739,5.55649,10.2743,3.52195,7.92223,8.70965,6.17819,3.08127,3.05441,5.52769,10.2321,3.40286,4.27153,6.28791,3.86168,6.04288,6.56717,9.95866,4.23473,7.03145,7.93906,8.050310000000001,10.1263,5.12938,7.944139999999999,5.18824,7.509819999999999,6.5486900000000015,5.60726,6.55103,5.86034,5.29514,5.62221,3.04958,5.64919,4.18719,5.72949,5.28196,5.66845,5.01171,7.95025,0
529.426981925783,23319.2790292959,640.232973241235,766.843576864078,1188.58673710102,16804.7157361483,4055.90461596177,254.581343419048,2218.3610746795607,33.8848802074209,1654.39921376401,1782.5640605442002,451.62277237412695,40.5596650584463,1441.06298896516,7.45026475924807,9.93475247673964,0.33300043154767,7522.766858324741,0.36025966562912504,7.89350213518201,105.761666282549,436.39989336213995,0.0,14182.1005218989,7.8146666957570305,177.31836701057597,2190.81098138992,2575.29513327375,825.4380296241818,111.181126218735,8647.65668951369,40.1653891130624,6586.317912488608,5.08164261560983,17.2961917540845,7.33096642593191,658.652285390709,1.14842734577617,509.28654994268203,0.413253075100722,78.11201563993441,4.743566510897121,2.12660134523604,4.312333191724661,216.696987232982,1297.18181001357,3.71072500051452,2152.8954790875,326.95371984243695,680.222387895693,155.218713951998,10.488822065754599,267.343017317102,107.556946931536,351.886388444732,2.0584305735210298,24.168149245700803,132.013832295085,85.48951017024629,2.58739991503479,11.3658545550538,266.41964505062,1.393418270483,19.464841241633,264.869937404542,15.7599050759505,0.0,141.276453622443,79.6253938617038,1
7.910719999999999,10.464,8.10082,5.91972,6.97658,4.35159,7.77333,10.3571,9.51847,4.1596,7.39873,6.845280000000002,6.91079,9.59474,9.36649,5.32673,6.51566,5.59166,6.0838,3.85463,6.04124,4.75135,5.3697599999999985,5.41357,11.0823,3.24835,4.34769,7.59575,7.242489999999999,5.93936,5.7093300000000005,9.57974,3.59738,9.24335,3.28092,5.06071,2.95074,3.15449,3.88361,5.79696,3.3667800000000003,4.11194,4.7191800000000015,4.85998,4.0441699999999985,5.09161,11.2686,3.90361,8.6236,5.53795,8.73254,8.4971,4.52018,7.53677,11.2541,6.75398,3.63926,3.92485,5.7754,4.2933,4.84381,4.4930400000000015,2.95086,2.97854,4.1250800000000005,7.602360000000001,4.47156,7.52148,3.745,4.81217,1
9.38025,10.8483,6.40073,8.751439999999999,8.75577,8.931410000000003,9.45747,8.73727,7.64378,3.61877,8.12692,7.65287,7.8627699999999985,4.544580000000002,7.7572800000000015,7.54188,5.926830000000002,9.18247,11.6272,4.43917,6.4867300000000006,3.96942,7.76435,6.92882,6.34034,3.00159,5.94275,5.23396,10.3733,6.204280000000002,5.93849,9.63185,3.64135,7.792860000000001,6.13882,13.5372,10.4599,3.01055,7.80652,10.3539,3.42824,4.6784300000000005,4.581169999999998,5.30681,4.34154,5.11921,10.1643,4.7211,7.93225,8.97542,7.9605,6.27665,4.97695,7.412889999999999,4.75409,6.69262,4.64535,4.4410300000000005,6.19871,6.7145800000000015,4.83549,7.22925,3.33932,4.5210300000000005,5.73724,9.04758,4.9612,7.68215,5.33744,6.76001,0
8.63313,9.38442,7.8147,6.67483,7.58885,5.09601,7.69878,10.584,7.05585,3.27144,7.2168199999999985,7.1162100000000015,7.98853,5.0055,7.48828,6.11155,7.220839999999999,5.3219,7.29045,4.79955,6.0549,5.49707,7.2302399999999984,5.15235,9.14743,3.35094,4.9292,7.1561,7.32173,5.8044400000000005,5.90378,8.92934,4.1736,9.26768,3.73366,5.94919,3.15076,4.56127,3.95311,5.89123,3.89859,4.93144,5.10575,5.01596,4.20352,5.0709300000000015,10.5394,4.5274800000000015,7.02755,6.16275,8.5206,6.09799,4.48006,7.43549,6.9180600000000005,6.13019,4.28682,3.86676,5.63353,4.57613,5.37007,4.72623,5.03069,3.11748,5.0688900000000015,7.40545,5.3507,7.1451600000000015,4.20267,5.87857,1
8.52575,9.31975,9.67291,6.28209,7.801819999999998,5.52808,8.0287,8.579939999999999,9.31801,3.9493,6.95878,6.7656,8.288910000000001,4.75493,8.08381,6.32371,7.396560000000001,6.375780000000002,6.05847,3.76561,6.45496,7.295660000000002,6.7938100000000015,5.0135,9.91197,3.39105,4.25835,7.51932,8.962539999999997,6.4125,6.837269999999998,8.46822,6.40144,9.15603,4.33929,5.60792,2.85428,7.08338,5.34288,5.73097,3.39526,4.1378,5.26841,5.01463,4.3117800000000015,6.12091,10.3419,4.23555,7.54537,5.62681,7.888330000000002,6.81711,4.48999,7.7800600000000015,6.30422,5.96759,3.84866,3.83268,5.60173,6.04512,4.34615,5.5575800000000015,3.81691,3.21265,4.75317,7.00917,4.55101,7.6026,6.132619999999998,5.49019,1
7.77398,10.497,7.844810000000002,6.22847,6.54148,10.3803,9.06189,11.2656,8.67639,4.83225,7.441619999999999,7.30883,6.03517,5.11423,8.589269999999999,6.01836,8.56736,4.86625,9.06347,8.808589999999997,6.17115,6.57251,6.62102,5.80569,9.57549,3.54702,4.07094,8.38562,9.78709,6.10374,5.82607,10.7812,4.39433,8.887039999999997,4.07437,5.98007,3.1539200000000003,7.85898,3.83215,8.52815,2.83633,7.6560000000000015,4.85463,3.97199,4.27591,4.99475,10.8353,3.21449,8.14182,6.15346,7.57958,4.20632,5.0327199999999985,9.20835,7.43376,6.0159,3.60251,4.0962,5.48458,4.58596,4.19245,4.180630000000002,2.7722,3.136,4.28855,6.657310000000002,4.53342,4.74267,5.77347,4.99974,1
8.76769,10.2494,7.50513,6.22856,7.94035,7.34342,7.764019999999999,10.6358,8.48925,7.2861600000000015,8.00346,6.86965,7.3132100000000015,6.7724199999999986,7.80019,6.589410000000001,7.221260000000001,5.3754,6.41655,4.27396,6.596889999999998,8.29929,7.4929,6.24514,8.78014,9.85262,8.21214,8.48501,7.0581,5.65235,6.0548199999999985,8.08729,3.73186,8.44946,3.77935,5.715319999999998,3.63616,5.14581,3.63586,7.50215,3.5034400000000003,5.8724,4.40484,3.82482,4.09422,5.92888,10.4205,4.340330000000002,7.29433,5.30809,8.3745,9.71826,4.85398,9.20021,9.85783,8.00951,3.91723,4.20674,6.723960000000001,5.25866,4.73059,5.86049,3.06109,3.61524,4.26618,7.2343199999999985,4.79469,7.29116,4.20924,6.2304900000000005,1
9.920947646271829,11.435573671489598,6.202705188575258,9.828616662253099,8.137978540685001,10.6081911477453,8.79352986940678,7.850320268707732,6.994618371333951,4.86418588944749,8.27347244648404,7.638744307779679,7.06207529441115,5.511447021248139,7.56049359021021,6.3769353884807005,7.23521413990263,6.66131291510047,9.6043279346983,4.7749187244066915,7.313809239547349,4.48148445592886,11.055169450169801,8.99807772114915,6.5846190728975404,4.31269802010778,7.941208568201,5.56096175359547,9.432597604571619,6.9800005243238,6.64914740396504,9.073464361064561,5.39188231747129,8.79387823740451,6.78392019949443,6.883931022625951,3.862182264517029,3.8361518960367698,4.379248910748419,8.663351770212719,5.6731633143398295,4.84420603085715,5.21909778709149,5.54659788930229,5.80214614774799,5.6762000133753014,9.292100012299802,4.28841838577409,6.78231349029959,8.27203763013862,7.7506099582350885,7.95007818081416,5.70528208070606,7.383378501383,5.48724435834869,6.740056582767791,5.18394771036907,4.5372065954339815,7.028652956202119,8.705567266456221,7.084168488841231,8.412769746001048,4.10800101665678,6.765331782733152,4.62140743103077,6.32311469363813,5.20426898339079,6.756254337668952,5.45260913290143,11.8415909816083,0
