CCL5,RCN1,TGFBI,MYBL2,CD14,NUP214,COMMD3-BMI1,EPS8,TRAFD1,IGF1R,PRAME,APOC4-APOC2,FPR1,HOXB6,FAM50B,WT1,GP1BB,FLT3,CDKN2A,ASAH1,TBC1D9B,ALDH1A1,LCN2,COL4A5,CDC42BPA,GPR65,HOXA1,HBBP1,TRBV21-1,GOLM1,AKTIP,DNAAF5,LPAR6,DEPTOR,C3orf14,CXorf57,SLC27A5,PCDH9,NUDT11,VPREB3,SH3BP4,TCL1A,target
7.910719999999999,8.10082,5.91972,6.97658,4.35159,7.77333,10.3571,4.1596,6.845280000000002,6.91079,9.59474,6.51566,6.0838,3.85463,6.04124,4.75135,5.41357,11.0823,5.7093300000000005,9.57974,9.24335,3.28092,5.06071,3.15449,3.88361,5.79696,4.11194,4.85998,4.0441699999999985,5.09161,5.53795,8.73254,8.4971,11.2541,3.63926,3.92485,5.7754,4.2933,4.84381,4.4930400000000015,3.745,4.81217,1
9.38025,6.40073,8.751439999999999,8.75577,8.931410000000003,9.45747,8.73727,3.61877,7.65287,7.8627699999999985,4.544580000000002,5.926830000000002,11.6272,4.43917,6.4867300000000006,3.96942,6.92882,6.34034,5.93849,9.63185,7.792860000000001,6.13882,13.5372,3.01055,7.80652,10.3539,4.6784300000000005,5.30681,4.34154,5.11921,8.97542,7.9605,6.27665,4.75409,4.64535,4.4410300000000005,6.19871,6.7145800000000015,4.83549,7.22925,5.33744,6.76001,0
8.63313,7.8147,6.67483,7.58885,5.09601,7.69878,10.584,3.27144,7.1162100000000015,7.98853,5.0055,7.220839999999999,7.29045,4.79955,6.0549,5.49707,5.15235,9.14743,5.90378,8.92934,9.26768,3.73366,5.94919,4.56127,3.95311,5.89123,4.93144,5.01596,4.20352,5.0709300000000015,6.16275,8.5206,6.09799,6.9180600000000005,4.28682,3.86676,5.63353,4.57613,5.37007,4.72623,4.20267,5.87857,1
8.52575,9.67291,6.28209,7.801819999999998,5.52808,8.0287,8.579939999999999,3.9493,6.7656,8.288910000000001,4.75493,7.396560000000001,6.05847,3.76561,6.45496,7.295660000000002,5.0135,9.91197,6.837269999999998,8.46822,9.15603,4.33929,5.60792,7.08338,5.34288,5.73097,4.1378,5.01463,4.3117800000000015,6.12091,5.62681,7.888330000000002,6.81711,6.30422,3.84866,3.83268,5.60173,6.04512,4.34615,5.5575800000000015,6.132619999999998,5.49019,1
7.77398,7.844810000000002,6.22847,6.54148,10.3803,9.06189,11.2656,4.83225,7.30883,6.03517,5.11423,8.56736,9.06347,8.808589999999997,6.17115,6.57251,5.80569,9.57549,5.82607,10.7812,8.887039999999997,4.07437,5.98007,7.85898,3.83215,8.52815,7.6560000000000015,3.97199,4.27591,4.99475,6.15346,7.57958,4.20632,7.43376,3.60251,4.0962,5.48458,4.58596,4.19245,4.180630000000002,5.77347,4.99974,1
8.76769,7.50513,6.22856,7.94035,7.34342,7.764019999999999,10.6358,7.2861600000000015,6.86965,7.3132100000000015,6.7724199999999986,7.221260000000001,6.41655,4.27396,6.596889999999998,8.29929,6.24514,8.78014,6.0548199999999985,8.08729,8.44946,3.77935,5.715319999999998,5.14581,3.63586,7.50215,5.8724,3.82482,4.09422,5.92888,5.30809,8.3745,9.71826,9.85783,3.91723,4.20674,6.723960000000001,5.25866,4.73059,5.86049,4.20924,6.2304900000000005,1
9.920947646271829,6.202705188575258,9.828616662253099,8.137978540685001,10.6081911477453,8.79352986940678,7.850320268707732,4.86418588944749,7.638744307779679,7.06207529441115,5.511447021248139,7.23521413990263,9.6043279346983,4.7749187244066915,7.313809239547349,4.48148445592886,8.99807772114915,6.5846190728975404,6.64914740396504,9.073464361064561,8.79387823740451,6.78392019949443,6.883931022625951,3.8361518960367698,4.379248910748419,8.663351770212719,4.84420603085715,5.54659788930229,5.80214614774799,5.6762000133753014,8.27203763013862,7.7506099582350885,7.95007818081416,5.48724435834869,5.18394771036907,4.5372065954339815,7.028652956202119,8.705567266456221,7.084168488841231,8.412769746001048,5.45260913290143,11.8415909816083,0
11.4097,6.15285,11.6148,6.43471,12.1632,9.21503,9.11341,5.38826,8.120610000000001,7.51444,4.10356,5.75599,10.7953,3.52507,6.66262,3.12915,8.70502,5.57199,5.3166400000000005,11.0304,8.02014,8.37658,8.89227,3.05824,3.89597,9.96709,4.65039,3.77029,4.90456,6.50856,7.6823,7.53055,9.85093,4.937869999999998,6.7217,5.33098,5.953880000000002,6.28601,4.10356,5.6091,4.61713,7.99345,0
7.90008,8.33398,5.38795,7.550860000000001,4.30862,8.0157,8.66928,3.56901,6.92726,8.13822,8.83881,8.78472,5.83316,4.00335,6.7539,8.427610000000001,7.11997,10.4034,7.71578,7.3890600000000015,8.76125,3.66605,5.2573,3.51399,3.57186,5.96901,4.24655,5.14982,4.70104,5.13852,5.98341,7.88083,5.87066,9.09254,4.25791,3.96021,6.65097,4.75683,4.4219300000000015,5.45902,5.14728,6.27789,1
8.22869,8.149989999999999,6.07336,7.9073600000000015,5.10634,7.81653,9.19461,5.65903,7.46134,7.24948,6.6193800000000005,6.48456,8.00347,4.26858,6.29951,7.1124100000000015,4.66721,6.94798,6.56554,8.343869999999999,7.74459,4.68281,10.3285,5.6761,8.95761,6.07401,4.24346,3.61739,4.13919,6.52918,5.02612,8.51575,7.00467,10.4601,3.32605,4.05755,7.8369,4.80821,4.00594,4.7594699999999985,6.7285,4.6978300000000015,1
