HSP90B1,MARCKSL1,RPL10P9,HADHB,MGAT1,CDIPT,SGTA,NASP,SPEN,RSRC2,UNC119B,CRIM1,GCC2,GNG11,TRIM16,PTGS2,AOC3,MAFG,CSF2RB,HGD,ESR1,SLC18A2,BMP6,ANXA11,CLC,CD70,AANAT,BAZ1B,UBN1,SEPT5,BOLA2B,GZMH,HNF1A,OPRM1,SBF1,PDE8A,PKN2,SP3,TRAF3IP3,PPBP,SLC5A12,GLG1,PCM1,SCFD1,KIR3DL3,COX7CP1,PIGG,ZNF768,RASAL2,YIPF2,MSRA,FSBP,CRYZL1,LRRFIP1,ZC3HAV1,VSIG10,EDEM3,CYP39A1,ZNF692,EXD3,LSG1,CDC14B,TAF1D,CCDC28B,AGAP10P,EPS15L1,target
10.0106,9.68479,13.804,9.69925,5.86245,9.90498,6.8148399999999985,3.87324,9.52596,10.028,8.26352,5.19136,9.1579,7.8811399999999985,5.5778300000000005,4.2889800000000005,3.80373,6.06519,10.9688,4.54183,5.06646,4.60494,5.42189,8.705739999999999,10.3691,6.4551,3.4917800000000003,8.0922,9.12924,6.45864,7.212639999999999,9.10226,4.39248,4.61535,7.1360800000000015,7.40734,7.727289999999999,7.973889999999999,8.10513,12.3098,3.57656,8.7408,5.26465,4.3465099999999985,7.24821,11.6886,8.59013,5.71231,3.3657,4.57353,7.2184,4.38302,8.910860000000003,7.599289999999999,6.37431,4.75884,9.1821,4.84739,7.377210000000002,6.37234,7.29365,5.85128,9.58103,5.50713,5.41686,5.83931,0
8.875960000000003,8.6613,13.0968,9.36641,6.22642,8.06983,6.41365,6.50415,7.83167,9.51316,8.4832,7.21496,9.15875,8.79888,6.4208,7.41855,3.85255,6.8811800000000005,9.858,5.5576,3.89639,5.57815,5.36759,8.90902,9.17903,5.6206,3.03132,10.2084,8.16484,6.3092,8.2088,9.00262,4.07451,3.55907,10.0183,7.072989999999999,8.82265,8.48446,8.951880000000003,11.0384,3.27089,10.7804,5.93727,5.5288,5.76181,11.3811,8.26543,5.51535,5.86485,3.9396,6.35515,7.69476,7.51267,7.1924800000000015,8.14016,5.99878,7.59238,4.43534,8.56811,5.15324,7.736339999999998,5.90374,10.7707,4.77885,5.84143,6.18715,0
8.24505,8.72785,13.4329,9.58388,4.7588599999999985,10.3144,6.67272,5.31811,9.62173,9.12666,8.29786,5.3569900000000015,8.13043,9.22922,5.51377,7.626060000000002,5.02826,6.642460000000002,11.4208,4.96329,4.75394,4.42422,5.18417,9.06067,11.0821,6.46617,4.67681,7.29462,10.566,6.6864300000000005,8.00039,8.250060000000001,4.397469999999998,4.61726,6.96667,6.48599,9.8534,7.717110000000001,7.42552,12.2444,3.62519,9.30897,5.2264300000000015,5.6737199999999985,6.08437,10.8733,7.65831,6.27124,3.68106,4.87469,7.63328,4.1974300000000015,7.0412,9.14817,5.93965,5.56428,9.23884,5.05578,7.55515,5.99343,8.08713,4.68938,9.36202,6.4913,4.99094,6.21678,0
7.93625,9.02104,13.3645,9.70739,4.80991,9.52733,6.49814,3.70748,7.12825,9.66126,7.7287,5.8046,8.42155,12.9082,4.98569,6.08493,4.1033800000000005,5.90514,9.23296,7.56232,4.32191,4.53476,7.27237,7.39739,5.6162800000000015,6.63237,3.82676,7.497330000000002,6.52355,5.62944,9.33246,10.4919,3.74633,5.01584,6.18601,7.04598,6.52847,9.20656,6.66654,13.8826,3.38394,8.78027,4.56578,3.71641,7.4207,12.0435,7.431780000000002,5.10315,3.32974,4.06254,7.17788,4.53512,8.01575,7.90297,6.01909,4.59238,9.49998,4.8520699999999986,7.0777800000000015,5.01584,6.43802,7.77418,8.88601,6.3329900000000015,4.3697300000000014,5.11441,1
14843.90711063,3736.5094256387897,45.78862173823161,2020.40573101912,10840.376719753,5851.98882440521,2578.6801933033607,2762.883618495,7200.83419504412,1499.23358013189,1340.26303046976,132.368866266013,3254.80312404685,5050.958653124229,285.811668268123,37.964799386052704,7.85460594850998,1605.2833693082598,863.008540314912,154.951589668227,146.457027684685,78.204650846593,889.720287913568,38124.132420203,59.2094246615063,84.30302491954309,25.0485117054523,3268.32266009274,2439.85563786538,4910.6462747217,3136.11789929711,6795.1489225636,5.04564207292684,34.1002107191569,15319.9838667657,361.336886775831,243.64416140694001,2037.3836146639896,11222.10351444,21815.909881280902,8.592396805050079,9406.983977889,2526.42127225871,1003.65665680577,5.52621296840726,0.0,1141.44930685565,709.045469951921,43.9947847577587,1067.26551409149,490.443751590744,42.6184271514867,545.711937755336,11626.4456913549,9781.521867640153,166.60243182353702,1360.38168120422,0.0,538.2094282318329,360.960240607517,782.218671961492,764.061083995632,2582.8454636746696,577.95831853058,34.736195801417,4320.918381140639,0
11.0954,8.40503,13.408,10.404000000000002,4.59848,9.98099,6.894260000000001,4.97179,8.46062,10.3625,8.68122,5.224480000000002,7.98963,6.69425,6.02716,7.54816,5.55114,8.68811,9.98118,4.4059300000000015,4.89817,4.7586900000000005,7.92245,7.99553,11.7959,6.51719,3.77599,8.54804,9.45759,7.31251,9.37436,7.9169,4.0797,3.95065,6.996580000000002,6.91797,8.48264,8.743219999999999,5.21823,11.6106,3.29724,8.425189999999999,6.14356,5.0030199999999985,5.53193,11.4767,8.0092,6.40227,3.59812,5.4647,9.11014,5.64145,7.6604899999999985,8.54664,6.30708,5.48156,7.9772,5.24404,7.670610000000001,6.339180000000002,7.12873,6.17349,9.06467,6.93894,5.08856,6.03578,0
8.86049696303903,10.2151381984627,13.686608621731803,10.1154155309209,8.73913977963697,9.82688395364617,7.8939493996552095,10.1200592069208,6.46633790998305,9.953959967383607,8.12086985642102,5.246939069926111,6.895452568360442,5.62744501225844,6.743075595222219,9.499521070841393,4.90492608892897,8.01058089270264,9.89630351641533,4.836856128359309,5.238109853898808,6.448760045681372,6.33743879603099,9.849526015260633,10.5626499253581,7.30838705743421,5.76741374380942,8.12619029146667,7.79540789366454,6.535237988499111,9.36054732755669,6.71073355815303,6.91488863100704,6.08392810031485,6.78143236683305,5.800008701130741,7.02040998163212,8.40234023506644,7.2049572312307095,5.45448057723474,3.67804091257238,8.23978529905375,8.96769525326121,6.67304539314108,7.34824033715581,10.8015349644367,7.9848679585762,6.7774918359112695,4.520948453095951,5.791134224788411,8.568794382939997,6.185373916062889,6.18457790305125,5.47931002973408,7.75865789668033,5.465720615161018,5.85334980246832,3.9882548945829903,7.969025753926281,6.2846338024333885,7.10714430740381,5.1350153626880894,10.387561510144101,7.367894232762411,8.223591972062481,6.84946339684111,0
9.87863,8.75976,13.0023,10.1933,6.162730000000002,10.1379,6.7494,4.375380000000002,8.40455,10.6607,7.639239999999999,5.30822,8.78459,10.7943,5.1173,9.6727,4.21856,7.69106,11.1571,5.13122,4.59772,4.38322,6.22006,7.68987,8.5091,6.27222,3.56017,7.80674,8.716510000000001,6.36816,8.60593,9.57796,4.08663,4.58938,6.72301,7.8713,8.69871,8.48606,7.49095,12.8503,3.3129699999999995,8.11565,5.29646,4.61872,6.38129,11.4643,8.40002,5.38795,3.5281800000000003,4.39078,7.383999999999999,4.48396,8.37598,8.45022,7.60571,4.6990300000000005,8.79317,4.36801,7.45177,5.4694699999999985,7.04926,6.96109,9.812,5.9176,5.07986,6.20415,0
10.0913,8.81649,13.4931,10.4767,5.53655,10.3476,6.94083,3.74807,7.988389999999999,10.5854,7.76058,4.4551,8.59175,10.3046,5.51189,10.7902,4.35355,8.42755,10.8859,4.117369999999998,5.19269,4.4143,5.06655,8.199580000000001,9.90182,6.2331400000000015,3.33802,7.590260000000002,9.10796,7.06315,8.67269,6.23607,4.21176,4.622330000000002,6.40211,7.72204,8.3478,8.83588,8.33002,12.7107,3.3526199999999995,8.324910000000001,5.68214,4.70959,5.212280000000002,11.5488,8.37504,5.80996,3.17743,4.5599,7.85716,4.80381,8.64418,8.45752,6.1002,4.82695,8.823960000000003,4.73181,7.80846,6.15445,7.51878,6.65958,9.85685,6.46685,5.07475,5.8724,0
8.25279,9.22797,13.3179,9.65014,5.59173,10.7232,7.04692,6.18642,9.27718,9.01903,7.999230000000002,4.74262,8.63819,8.070139999999999,5.69249,6.71055,4.7108300000000005,6.836310000000001,11.4548,4.79294,4.5887400000000005,4.25571,5.19868,8.98603,9.08276,6.92707,4.19412,7.40817,10.1629,6.71065,7.2991,7.17005,3.96768,4.76903,7.27423,6.86805,9.50673,7.285239999999999,8.11195,11.1943,3.3093800000000004,8.8736,4.6405,4.98732,6.4870800000000015,9.86094,8.17859,6.23925,3.2963400000000003,5.64424,7.4721899999999986,4.57336,7.3825699999999985,9.33972,6.29462,5.50866,8.866060000000003,4.80569,7.05087,5.70973,7.18372,4.56967,9.25712,6.39789,4.92096,7.32985,0
9.63956,7.7364,11.8675,8.63693,6.73652,9.45159,5.37207,8.18688,9.92351,10.2796,7.36998,7.08494,6.51537,7.2608,5.97845,9.01561,6.70135,6.22444,10.956,4.64153,4.31421,6.55009,4.47976,8.98756,9.0545,5.13631,3.2223,7.74522,11.3122,6.9161800000000015,7.67801,7.16947,5.10733,3.56936,7.38002,4.24234,11.1151,9.12527,7.84243,9.66381,3.4285400000000004,6.6322,8.683069999999999,7.254760000000001,5.70405,10.7988,6.97077,5.97985,4.26547,3.56558,5.8245,4.60083,6.68416,8.249239999999999,8.033610000000001,6.2854,8.31917,3.85694,7.479939999999999,5.4269,9.084,3.67126,10.8807,6.24899,7.7130100000000015,5.40207,0
7.35993,8.69278,12.8661,10.1147,4.2340800000000005,10.9189,6.95016,4.16792,8.06493,9.34655,8.47668,4.80727,7.99281,7.55629,5.643669999999998,6.6788,5.38961,7.07567,11.7403,4.7513,4.76265,4.31165,5.76089,8.67273,9.26299,6.88532,4.10081,7.33258,9.54075,7.07333,6.9078800000000005,8.15418,4.25836,4.75981,5.9779,6.40538,9.6346,7.42851,7.5819800000000015,10.9595,3.48593,8.7347,4.23515,4.77834,6.4882,8.32404,8.07677,5.76275,3.32267,5.18878,8.09881,4.62836,7.64872,9.65917,5.29591,5.72152,8.58072,4.93804,7.11505,5.5301300000000015,6.50047,4.8354300000000014,7.93547,6.2744,5.08141,7.076110000000001,0
10.5912,8.92451,12.764,9.97624,4.5502400000000005,9.80514,7.370360000000002,3.86634,7.633960000000001,10.9202,8.26795,3.45353,6.87478,7.95984,7.0377399999999986,9.88904,4.6322800000000015,8.133560000000001,8.644110000000001,4.19511,5.43098,4.87384,4.8522,8.32435,11.93,6.61447,4.47255,7.73751,9.89349,7.9329800000000015,9.3351,4.88586,4.54551,4.42583,5.83936,4.33211,7.562189999999998,9.03974,4.1437599999999986,11.7386,3.62947,6.46779,6.3779,4.43037,5.44136,11.0474,6.591660000000001,6.68952,3.61044,6.34302,9.53285,5.14024,6.27382,6.679880000000002,7.618639999999999,5.4195400000000005,7.26911,4.80621,7.31035,5.85385,7.046760000000001,4.3285300000000015,9.21158,7.181539999999999,4.8303699999999985,6.4818,0
9.61161996557991,9.798192961993301,13.4184779791087,10.839743788536401,9.45999920184541,10.8805405658811,7.96490131126079,10.1261690296467,7.6809387069477,10.126636639297802,9.63064117885138,6.59826126078035,8.2732167557101,4.75579127489084,6.91077553482102,5.97497229687189,4.58946778078546,7.42389925967301,9.834975427204599,4.64615597689622,4.59563528492961,6.76933989943599,5.95223877666342,10.645292626130098,6.585972914355482,6.881457510228518,5.378374020429192,8.196178612291371,9.101429798180053,6.67424492824188,6.78016926798041,5.9783561484469985,6.044764472295738,5.34504148029104,7.154994891342,5.97024840481396,8.31892398415632,9.48505614310568,8.122670403812,6.82903767346457,3.65106234194823,9.03184724430598,9.52505634381235,8.225603690519,6.52279333813132,10.4822870222039,8.82351288386363,7.4458634125949406,4.5099577481492,5.9289045124821,8.76309726267824,5.57918995004297,7.57632298875628,6.98991663606318,6.4689712877169,5.73394981481179,5.7572038683645586,3.73103606807765,7.74064161513554,6.1562124063567,7.67035524473285,7.81532572871256,10.123779745755401,6.9371354229467,8.76994384410241,6.33355660622052,0
8.676260000000001,9.16889,13.4908,9.83764,6.07691,10.4892,6.35491,6.05595,8.98705,10.0451,8.64227,5.057180000000002,9.10057,7.1808,4.599480000000002,7.2129,4.46666,6.6696800000000005,11.7694,4.38693,4.50487,4.38696,4.61815,8.50539,10.781,6.34258,3.629,7.1776100000000005,9.45077,6.30305,8.52679,8.00506,4.23337,4.45406,6.94508,7.520739999999999,9.40292,8.48081,8.3687,9.89143,3.68992,8.1385,5.32143,4.93838,6.19457,11.4076,8.97927,5.59053,3.44196,4.69581,7.34733,4.9605,7.57967,8.91274,5.4929999999999986,5.00813,9.60977,4.72368,7.47187,5.45987,7.175889999999999,4.71694,9.81808,6.2808,5.3304800000000006,6.07117,0
