CCL5,TGFBI,NUP214,EPS8,IGF1R,PRAME,APOC4-APOC2,FPR1,HOXB6,FAM50B,WT1,GP1BB,FLT3,CDKN2A,ASAH1,LCN2,COL4A5,HOXA1,TRBV21-1,AKTIP,LPAR6,DEPTOR,C3orf14,CXorf57,PCDH9,NUDT11,SH3BP4,target
7.849939999999999,6.28287,8.75578,3.41597,7.28224,7.61302,8.59573,6.14789,3.78372,7.25132,9.7606,9.53761,11.5372,6.81031,8.53537,7.130439999999999,4.80494,4.41709,4.40638,5.72227,9.3559,8.51404,3.86482,4.47647,4.67457,4.27365,7.4257,1
5.18514606779366,6.47857072367406,8.44439695385881,4.53967577050684,9.02759206975894,6.21213538781196,7.75987646481126,7.054414121649652,4.81549189349321,7.40066195434039,8.261409680657291,6.71529331637977,11.6317867798594,6.659838540380019,8.096404322600781,5.57532649257285,7.2524515308641515,4.64502347976253,5.487920202277699,6.69838778666299,5.64823097491354,6.579034053684831,4.7284745845684,4.46822683249847,5.86642944641946,6.9912920445578095,7.75881806015419,1
401.993920452306,260.766878746651,2479.6352440815804,290.095576050776,467.116445065717,0.5603696909016589,3.74178099825622,421.913933561455,1530.5629816707801,167.213280268548,739.235226947585,33.7653085740417,12667.3182892853,64.30495087959639,6555.840179284351,248.454163270052,595.616915630176,55.374217818560886,0.64933285719311,186.61198276266398,57.9509011348392,1484.39045593214,1.2002719668099,5.0458533740189,40.5808608205251,0.0,232.09222983529,1
9.98648,6.6424699999999985,8.33302,3.79557,5.18796,4.75875,6.26344,6.80899,5.04017,6.965330000000002,5.40688,6.5815899999999985,5.26575,5.97736,9.09282,10.4763,3.4496900000000004,6.32728,3.96668,5.5085,5.08577,4.5224199999999986,4.10473,4.4462199999999985,4.5942,4.57529,4.65197,1
1191.27250943764,691.277915487943,1786.5729814122894,76.36184208972959,148.722902857696,132.214710537245,17.0827824128397,257.420198161146,2.98670917984244,93.89515017180729,1135.95721249246,332.88261430705,10645.647605353399,223.291389091714,7114.32600353971,207.071498354277,15.2318098779826,8.79886311604285,0.0,178.69838950825005,764.403730941165,1762.63567926228,3.08172085705921,6.6628848897839115,20.0152285301352,3.17787698622482,7.4235827591878785,1
10.9903,10.2635,8.56819,6.36873,5.6737,4.7361900000000015,6.45525,7.57039,6.06141,6.2951,3.6253,6.04907,11.5914,5.82065,8.51198,8.05283,3.52728,4.2559,4.2527,5.340319999999998,11.7803,7.924339999999999,3.72446,4.16246,4.65444,4.78348,5.24306,1
6.11838,5.40336,7.71658,6.07863,6.41292,4.0189,6.5380699999999985,5.3552800000000005,4.1736,6.4329,4.03267,4.6197,11.2072,6.85885,9.21858,5.26066,3.18193,5.13069,3.89983,4.73032,6.91792,7.7789899999999985,3.58891,3.98037,4.2093,4.65192,4.7310300000000005,1
8.906596649275471,7.116985628347808,7.56078506917271,6.9924188062672,6.87592239907803,6.366725404723869,8.14818484864842,6.51191067945474,4.99821011223721,6.7952341754245404,5.692333603310701,11.5679579057961,6.92344676955834,6.93359349355692,8.48099804188037,6.648380136354259,4.29100076519861,5.70680108270636,5.79395696208866,6.07170306237617,5.653159771037849,6.95752846507328,5.03375275538953,4.39697807319599,7.6965065856406785,7.28371182753286,4.98356301998405,1
11.0774,9.93187,8.88653,3.90753,8.22262,4.47574,6.06791,12.6351,5.1181,6.881,3.61858,7.00475,5.05314,5.8054,10.0287,6.72743,3.3467300000000004,4.59978,4.49266,7.35147,6.34553,4.7091699999999985,4.09208,4.5254400000000015,5.913119999999998,4.46,4.41338,0
8.406360000000001,10.4899,8.95621,6.00786,4.03585,8.327639999999999,6.41875,9.76215,3.74055,5.64455,7.99682,7.936739999999999,10.4357,6.099,10.4428,6.0911300000000015,3.34316,5.18867,4.19365,5.92004,9.52472,8.61789,3.612130000000001,3.93707,4.25512,4.22242,5.54505,1
