TSPAN7,LYN,JADE3,NPY,IRX5,ZNF423,TRAF3IP2,ABCC6,ADA,target
8.86963,8.63353,5.52383,4.89006,5.1989,4.01582,7.02258,4.26672,11.0314,1
8.87344514420451,6.39675393137443,5.94677395491324,10.6037522647335,5.52052255384059,9.06501883640479,10.9701117546393,6.07079681637546,8.38571436432314,1
5.8859,7.58062,5.4983,8.77838,5.00507,6.0538,8.31935,4.29127,8.4881,1
3.97187,10.2414,4.85351,4.80006,3.91952,3.65663,7.28255,5.09527,9.04941,0
8.79156659306529,7.05638893173867,6.03997668468556,9.68557722347953,5.28727298482659,7.79317659840273,10.5532073532517,6.09937782628741,8.99024791626194,1
4.61066,7.74882,4.53874,11.0554,4.32372,7.74125,7.65675,4.24467,9.73686,1
9.23013,10.0725,6.06696,4.00704,4.53145,10.0274,10.4646,4.42935,10.9003,1
4.55946,10.3823,3.5019,4.44436,4.38795,3.89912,7.33222,4.63553,8.8413,0
4.01213,11.5165,4.96678,4.57806,4.03768,3.56777,6.7578,4.5453,6.75992,0
7.09558,8.13492,8.23225,11.6486,4.84122,7.97081,9.75965,3.89013,10.1459,1
6.39786,8.91693,7.18588,3.93482,3.84366,8.73315,10.013,4.01041,9.60783,1
9.61795,5.9053,5.59129,5.21943,7.68199,3.72411,7.85719,4.58277,11.338,1
7.63761,7.18723,5.98325,10.483,5.24002,6.43128,9.20749,4.57629,11.3042,1
8.4254555180443,5.02022726777694,5.9275964131469,9.12794435121748,5.32816760324079,6.24154432729711,8.85201071491795,6.00175657344871,8.53167486282566,1
4.61859,4.3875,6.18818,5.41181,8.37036,7.36899,9.50875,4.22434,11.2457,1
3.47421,11.4167,6.81166,3.98832,3.34739,4.25741,7.12638,4.26124,7.94943,0
3.7436,10.9514,4.26773,4.52553,3.70321,3.92228,7.60767,4.83979,9.51328,0
9.63330305548033,5.55722223918421,6.91929969268726,8.81865693538011,5.20185568783129,6.90686825445953,10.8454666635734,6.06369903000128,9.86612848492049,1
10.4336,4.21175,6.34404,6.02547,6.73357,11.0519,8.17881,4.51627,11.7028,1
8.44877468218699,7.47925265110237,7.12780556442347,10.2135656043747,5.15633205327485,8.14617785723476,11.0512766972859,6.38852260494587,10.5995715789062,1
7.86848,8.5654,7.58204,9.30332,4.49732,7.43281,10.2813,4.43105,11.0784,1
9.21214,8.34683,7.25402,9.75531,4.11893,9.84108,10.0714,4.31598,10.8551,1
8.06513526024605,8.62081273687031,5.44014858991566,8.09623204572399,5.33554415154954,6.69236824481694,9.05316594298419,6.18493122750405,9.06580270522496,1
8.12196,6.67386,6.8931,11.6849,4.91237,7.75576,8.6591,5.05173,11.7685,1
5.04331,9.247,7.41125,4.46735,5.20565,4.22949,7.57508,4.42292,10.0208,0
85.066300077347,12466.3183009813,107.099211243743,0.0,7.59822281075079,0.0,773.469585276701,229.14265922793,308.875244174419,0
7.39145663942324,7.43845310784921,5.07588446327854,7.73909455761647,5.68757891640946,8.10145609267984,10.1131277222329,6.58919535851823,9.54275706698415,1
7.42189,8.76711,8.1328,8.12219,4.40228,8.00924,9.76571,4.06409,9.82155,1
5.07078,8.6787,5.87701,9.26151,4.0633,6.8412,9.8734,4.62522,10.4532,1
3.98691,11.4117,4.93423,4.40661,4.01569,4.02987,7.62409,4.83068,9.5278,0
4.51168,11.0511,3.93814,4.66381,4.18019,3.85818,7.48935,4.96269,8.34991,0
7.83581,6.24653,6.52671,4.51936,6.85605,3.90974,7.33108,4.69516,12.0231,1
8.37431,7.70361,6.5937,9.24093,4.88002,7.95269,9.72379,3.93169,10.1565,1
6.50975535464682,7.38952871109794,5.74477026700823,11.1721439764409,5.16151946061468,5.36222113323311,8.76083719637192,6.6051366032536,8.43050506724332,1
