CCL5,RCN1,TRAFD1,APOC4-APOC2,TFF3,FPR1,FAM50B,GP1BB,EDIL3,GPR171,MAML3,ASAH1,TBC1D9B,ALDH1A1,LCN2,COL4A5,CDC42BPA,CHRM3,HBBP1,TRBV21-1,GOLM1,BZW2,DSG2,AKTIP,DNAAF5,TIMM22,C3orf14,CXorf57,SLC27A5,PCDH9,NUDT11,VPREB3,PDZRN4,CLIC4P1,SH3BP4,target
7.73508,7.6977,6.35501,6.57137,6.2560400000000005,5.73159,6.05155,5.92976,3.3584,4.45109,5.63724,5.94163,8.65865,3.86133,5.30837,3.66569,4.205030000000002,3.36346,4.47043,4.20222,4.35762,9.632439999999999,3.7845400000000002,4.3179,7.24678,6.4581,4.31696,3.53157,5.95522,4.4520300000000015,4.15223,4.7916,2.95606,6.9881699999999976,3.79839,1
11.7106,7.06893,7.89858,5.22388,5.3834300000000015,11.1939,6.5442,6.6673,3.20401,10.0191,6.78252,10.2743,7.92223,8.70965,6.17819,3.05441,5.52769,3.40286,3.8616800000000002,6.04288,6.56717,9.95866,4.23473,7.9390600000000004,8.050310000000001,7.509819999999999,6.5486900000000015,5.60726,6.55103,5.86034,5.29514,5.62221,3.0495799999999997,5.66845,5.01171,0
529.426981925783,640.232973241235,1782.5640605442002,9.93475247673964,0.33300043154767,7522.766858324741,7.89350213518201,0.0,7.8146666957570305,177.31836701057597,2190.81098138992,8647.65668951369,6586.317912488608,5.08164261560983,17.2961917540845,658.652285390709,1.14842734577617,0.413253075100722,2.12660134523604,4.312333191724661,216.696987232982,1297.18181001357,3.7107250005145196,326.95371984243695,680.222387895693,351.886388444732,2.0584305735210298,24.168149245700803,132.013832295085,85.48951017024629,2.58739991503479,11.3658545550538,266.41964505062,0.0,141.276453622443,1
7.910719999999999,8.10082,6.8452800000000025,6.51566,5.59166,6.0838,6.04124,5.41357,3.24835,4.34769,7.59575,9.57974,9.24335,3.2809199999999996,5.06071,3.15449,3.88361,3.3667800000000003,4.85998,4.044169999999999,5.09161,11.2686,3.90361,5.53795,8.73254,6.75398,3.6392599999999997,3.92485,5.7754,4.2933,4.8438099999999995,4.4930400000000015,2.95086,7.52148,3.745,1
9.38025,6.40073,7.65287,5.9268300000000025,9.18247,11.6272,6.4867300000000006,6.92882,3.00159,5.94275,5.23396,9.63185,7.792860000000001,6.13882,13.5372,3.01055,7.80652,3.42824,5.30681,4.34154,5.11921,10.1643,4.7211,8.97542,7.9605,6.69262,4.64535,4.4410300000000005,6.19871,6.7145800000000015,4.83549,7.22925,3.33932,7.68215,5.33744,0
8.63313,7.8147,7.1162100000000015,7.220839999999999,5.3219,7.29045,6.0549,5.15235,3.35094,4.9292,7.1561,8.92934,9.26768,3.73366,5.94919,4.5612699999999995,3.9531099999999997,3.89859,5.01596,4.20352,5.0709300000000015,10.5394,4.5274800000000015,6.16275,8.5206,6.13019,4.28682,3.8667599999999998,5.63353,4.57613,5.37007,4.72623,5.03069,7.1451600000000015,4.2026699999999995,1
8.52575,9.67291,6.7656,7.396560000000001,6.3757800000000024,6.05847,6.45496,5.0135,3.39105,4.25835,7.51932,8.46822,9.15603,4.33929,5.60792,7.08338,5.34288,3.39526,5.01463,4.3117800000000015,6.12091,10.3419,4.23555,5.62681,7.8883300000000025,5.96759,3.8486599999999997,3.8326800000000003,5.60173,6.04512,4.34615,5.5575800000000015,3.81691,7.6026,6.1326199999999975,1
7.77398,7.8448100000000025,7.30883,8.56736,4.86625,9.06347,6.17115,5.80569,3.54702,4.07094,8.38562,10.7812,8.887039999999997,4.07437,5.9800699999999996,7.85898,3.83215,2.83633,3.9719900000000004,4.27591,4.99475,10.8353,3.21449,6.15346,7.57958,6.0159,3.6025099999999997,4.0962,5.48458,4.58596,4.19245,4.180630000000002,2.7722,4.7426699999999995,5.77347,1
8.76769,7.50513,6.86965,7.221260000000001,5.3754,6.41655,6.5968899999999975,6.24514,9.85262,8.21214,8.48501,8.08729,8.44946,3.77935,5.7153199999999975,5.14581,3.6358599999999996,3.5034400000000003,3.82482,4.09422,5.92888,10.4205,4.340330000000002,5.30809,8.3745,8.00951,3.9172300000000004,4.20674,6.723960000000001,5.25866,4.73059,5.86049,3.06109,7.2911600000000005,4.20924,1
9.920947646271829,6.202705188575258,7.638744307779679,7.23521413990263,6.66131291510047,9.6043279346983,7.313809239547349,8.99807772114915,4.31269802010778,7.941208568201,5.56096175359547,9.073464361064561,8.79387823740451,6.78392019949443,6.883931022625951,3.8361518960367698,4.379248910748419,5.6731633143398295,5.54659788930229,5.80214614774799,5.676200013375301,9.292100012299802,4.28841838577409,8.27203763013862,7.750609958235088,6.7400565827677905,5.18394771036907,4.5372065954339815,7.028652956202119,8.705567266456221,7.084168488841231,8.412769746001048,4.10800101665678,6.756254337668952,5.45260913290143,0
