STMN1,SOX4,TGFBI,TSPAN7,S100A13,LYN,CD93,SIRPA,SMARCD1,SSBP2,MPO,JADE3,CTSG,EREG,NPY,RHAG,PF4,APMAP,CCR2,MMP8,NAALADL1,THY1,SPP1,GABPAP,IRX5,DNTT,ZNF423,TRAF3IP2,ABCC6,ADA,ENAH,LPAR6,DPPA4,CD244,ARPP21,ASTE1,SEMA4C,target
10.3903,12.3259,5.34043,4.20053,7.77132,7.79354,4.28704,4.79806,8.12229,11.2425,5.11269,9.1639,5.12679,3.41367,4.58409,4.723,5.20655,7.01406,3.94826,4.28421,4.85664,5.50986,4.41753,7.22857,6.81724,12.0522,7.97334,9.89451,3.97669,10.6389,6.69383,5.81834,3.04703,4.80488,10.5562,6.88721,7.81337,1
9.56491,11.4992,5.8678,7.99242,10.4042,9.05878,6.73594,6.25999,8.47917,9.43177,7.22204,8.15952,6.23778,5.10044,10.0299,8.13777,6.48822,9.2412,4.3698,6.4532,4.77166,5.47778,5.7178,7.45743,5.13164,13.3558,9.33549,9.33911,4.2234,10.6558,6.21766,8.88907,3.24399,5.01342,9.89832,4.3032,6.12193,1
10.0698,11.1184,4.66802,6.46885,6.82782,10.5372,7.09349,8.01947,7.31756,10.1449,5.47653,7.44843,6.37489,9.68612,4.30416,3.04562,5.88251,9.22787,3.96057,4.45045,7.09742,6.77482,5.36981,5.16308,4.2087,7.55252,6.78234,8.43121,5.47208,9.90283,6.24159,4.93427,6.91228,8.69564,4.07349,7.14803,8.31676,0
9.48391,11.9784,5.25513,6.56073,8.5112,9.3839,6.65332,6.83503,7.7015,9.29115,8.93619,5.36833,4.8575,3.80103,9.12099,3.13073,6.2225,9.17689,3.29778,3.54078,5.27693,5.7306,4.22552,7.1409,4.45405,12.4798,7.40821,9.27011,4.124,10.9114,7.82687,8.2628,3.37059,6.1384,4.00564,6.47087,5.77808,1
8.8884,11.3539,5.39412,4.0851,7.42963,7.45565,7.44772,5.70548,7.55622,10.4463,5.02846,6.37404,6.57877,3.60418,5.92075,3.85257,5.09758,8.99643,3.23344,4.55714,4.44947,5.86606,4.27431,6.3001,5.29207,12.0484,7.15076,10.0686,4.17244,11.0127,3.84036,9.13672,2.97254,4.80701,9.18904,6.09042,5.62439,1
9.76522,11.6718,5.67566,5.87954,6.55567,9.4886,9.19221,6.10996,8.20822,8.87409,6.81009,6.00014,11.5221,4.26753,5.91695,4.88905,5.41548,10.7134,4.5395,7.53645,4.29131,5.5226,4.14353,6.07186,8.18909,12.2325,4.78731,9.70478,4.44205,11.743,4.08654,9.53155,3.09065,5.36567,8.44095,6.10823,6.8266,1
10.2325546308539,10.7877809291777,6.51147395922325,8.28905623768339,6.50267478830385,5.92929562519584,8.70383278490075,6.41682500862767,8.10851611408822,9.32859992822732,5.89293219565301,6.32420919535314,6.96700821836621,4.1090455375774,7.54324475993698,4.55405200976095,7.1959304633111,8.5456073079729,6.36481732477776,6.0584666555531,5.34857525587699,6.65121532571669,5.14500720892377,5.98620742282868,6.3899539739924,11.8515573609672,9.14846566248163,10.2848463979281,5.98620742282868,8.99717600392444,6.11478478309093,8.33636004421663,4.54151587260181,7.1760909529745,5.37860159069442,6.87758303852143,7.82840511514706,1
7.11319,9.19592,11.5187,4.11366,6.21306,11.0342,10.9151,9.18856,6.84455,8.07828,5.39093,4.65672,6.28,6.06883,4.29009,3.18193,10.8346,10.1997,9.71818,6.59178,5.46009,5.18312,3.99629,6.5558,3.9854,4.99263,3.91701,7.94952,4.30133,8.73794,3.94468,10.1464,3.28374,9.17989,4.20379,7.73562,7.34058,0
9.94452,11.639,5.60126,4.29154,8.42935,9.09221,8.0967,5.06344,7.39389,10.6087,7.26547,6.10509,8.55113,4.74541,8.7137,6.09488,5.40359,9.03483,3.84228,10.0978,4.52324,5.65731,4.02124,7.12543,5.5711,11.1775,5.72193,10.4016,4.07697,11.4857,3.67055,7.81281,2.94135,4.95811,11.223,6.2509,5.38437,1
9.08926,8.75651,4.97696,6.09946,8.41609,7.4271,4.47379,5.80837,8.10695,9.63086,4.88605,5.64809,5.21799,3.50111,9.36109,3.57392,6.81449,8.10644,4.11821,4.14499,5.23489,6.05421,5.14962,7.03803,4.51701,12.0787,8.62936,8.698,4.24944,9.71708,6.48783,8.41303,3.54737,5.99802,8.60713,7.20595,6.78288,1
10.7357,12.1881,5.72739,4.15864,7.95676,8.98801,5.24193,4.7981,8.74108,11.1163,5.15754,8.29817,8.74031,3.44351,7.12324,3.05526,4.85599,8.09634,3.82749,4.33555,4.72351,5.71936,3.96408,5.89495,4.00839,11.5687,8.18222,9.74704,4.37032,11.616,6.14158,7.22978,3.25341,5.17473,11.0367,7.26399,8.68364,1
8.90326609264141,10.539291282421,7.32995109867495,8.91318419961558,7.73830554615432,6.32228846446022,7.82903907400073,6.45421118775407,7.47174270300319,7.67155867795314,8.52289079069903,5.90828148901362,6.54380303060491,4.84215504179758,10.4333870111185,6.54828109699522,7.56123415849857,7.93081961248094,6.32559848400497,6.48974083938474,5.55153124707793,6.56376967799635,5.4733331455265,5.67996666251897,5.31958369620428,10.7471651214312,6.90892454183676,9.593174977257,5.78533193293628,8.30334775109986,6.94724702423657,6.52092314038881,5.73374109058957,7.09487454377639,5.59728441967069,6.98992271621284,7.20689117653333,1
8.86388,9.96122,4.81478,4.72994,8.60893,4.49649,4.86747,5.46394,7.31453,9.93023,5.05661,5.68099,5.6048,4.10328,9.85404,3.81197,6.00845,6.75967,4.14971,4.40117,5.21619,5.89411,7.07468,6.0401,4.59589,12.0406,8.23337,8.02968,3.73218,9.69166,6.23311,10.4551,3.78423,5.90979,6.50641,5.50572,7.05726,1
10.7253,12.99,5.22357,9.35023,6.33946,7.47393,5.8056,5.20021,7.08359,8.75365,5.13648,4.60188,5.13091,5.23484,4.62533,6.50756,5.66652,8.82432,4.55656,3.884,4.77697,5.65926,4.77726,6.46627,6.22469,5.69938,10.3101,7.80176,4.072,8.80287,4.18522,10.3807,3.34055,8.32152,9.6373,6.37672,5.58397,1
10.622,12.8446,7.03908,9.48157,6.31383,7.93436,8.34507,6.55109,8.38972,9.9112,8.80489,6.83892,9.8312,7.94127,5.37195,3.84314,5.79911,8.95187,5.17363,9.64433,4.22413,5.19159,3.94686,7.36666,5.36068,11.3629,8.29429,8.88465,4.37155,12.0302,5.92297,10.6714,3.7204,6.11776,10.4004,6.81065,7.25527,1
8.22446,8.34779,9.98557,3.22675,7.1266,11.4439,10.376,9.7085,7.15632,8.18443,4.08974,7.5036,3.51448,4.95344,3.60465,3.25545,9.9633,10.038,9.71438,4.37737,5.70935,4.62558,3.31947,6.27969,3.06529,5.14995,4.93445,7.14189,4.05634,8.38986,5.34543,9.36413,5.53262,8.89696,4.32674,7.21237,7.26852,0
9.5672815915714,11.105690213443,6.77290509924417,6.82283847694835,8.68912174883705,6.95360872492113,9.69625982130691,8.20616172099642,7.48262032603636,8.35363336277338,8.16509057471719,6.53795725675765,6.940563429782,4.0247969245235,10.2618937081734,6.02510172609037,7.4596771887903,8.60225814176899,6.43674682100332,5.61957224927248,5.10634485574852,6.49193724244899,4.93016008783948,6.58535516951947,5.51313084886437,11.8196972492169,7.67454305952544,10.4438117964725,6.15289550579753,10.4297360509177,5.62538931595472,7.6892051098881,4.56785588093478,6.79212959453244,4.70635329892759,6.97242326283499,7.10981109494784,1
