WARS,STMN1,SDCBP,CST3,SOX4,IFI30,TGFBI,AEBP1,COL3A1,TSPAN7,RER1,MATN2,IFI27,S100A13,LYN,DBN1,CD93,SIRPA,C1QB,SMARCD1,SSBP2,MAP3K5,MPO,P2RX4,JADE3,BCHE,MEOX1,CTSG,EREG,ADAM28,NPY,ASGR2,RHAG,ARG1,PF4,APMAP,CEACAM8,CCR2,DEFA4,MMP8,CRISP3,NAALADL1,HPR,S100A11P1,PSMA6,ANXA2P2,THY1,SLC1A5,CES1P1,SPP1,SEC31B,GABPAP,IRX5,DNTT,IGHV3-23,ATP6V0A1,RECQL4,GPS2,LST1,GYPB,ZNF423,ADAM10,KCNMA1,TRAF3IP2,ABCC6,ADA,SCNN1A,ENAH,PRKRIP1,MED28,POGLUT1,LPAR6,TMEM106B,THG1L,DACT1,DPPA4,MORN1,L2HGDH,CD244,ARPP21,VRTN,FOXRED2,TLR8,ASTE1,LINC00921,SEMA4C,PRR5,target
9.51852778764747,7.36864657072327,10.7754899628615,11.1609838355675,7.9724305360556,12.0976307444862,10.5953684686628,7.30015553455804,4.97527031185282,5.88290533332144,8.13318449749593,4.32695322608105,5.92643226367785,6.78139001823996,8.99115132620755,6.31600849635962,9.71066904075594,8.14550775159091,5.62673671644295,7.16923602933969,7.01220940442424,7.58447795071916,5.86613595158501,8.09366218250391,4.92434605058597,3.94055753905107,4.2607712836747,6.54616686028225,4.02935121023913,6.93848205496908,5.74942099978793,7.77234202925772,3.89922549464676,5.73161779368045,11.7261325378882,9.76296078008962,4.45293232578776,9.50349358697648,6.5678428043548,5.4999103812338,3.91924100939679,6.18263077999847,4.94779726974723,9.24234504985685,9.93301552306276,9.67956312211177,6.51152618764731,7.8367845955009,6.7862094147124,4.45000746145971,7.77818964182091,5.82724229127924,4.93941766811681,5.49730658634794,9.03874863659066,8.57932725209129,6.17379448359455,7.22595991446989,9.76482281216672,6.24984294962875,5.01420347736418,7.13653107616665,5.31771011170323,8.24109971280642,6.22804402604254,7.95693971574391,6.55388570225576,4.59992390604655,7.12365772916027,7.94890771131576,7.66131176566655,8.05126246792051,5.59725628774971,6.97202444038908,5.39685848018997,4.28923598958951,7.48698133946385,4.77080897471002,8.6010828995792,4.36099991871991,6.48091865586882,6.24049999280704,6.6787891716173,7.46352206418625,6.7560888503451,8.10789377348965,8.26742353211473,0
7.3007,9.37722,7.8506,5.4415,11.7436,8.66322,6.35246,7.83464,4.49312,9.04086,8.03836,3.27549,8.9759,9.22396,5.63561,9.24176,6.51576,6.12843,4.21102,7.25211,9.36917,5.5253,8.81987,7.5695,7.06674,2.73287,4.09978,4.98426,3.52538,4.43225,11.9757,5.40137,6.7992,4.92322,5.45335,7.71484,3.65124,4.62084,4.95511,3.97514,3.17259,5.05327,4.84915,5.94946,13.027,8.4523,6.1623,7.48023,4.75229,5.37891,7.72806,7.22331,4.29112,13.5806,5.79033,6.48007,7.10069,8.59383,10.7414,7.28895,8.67916,5.80829,5.08462,9.0655,4.80523,11.2518,6.07176,6.557,8.82034,5.82094,5.90254,10.4559,6.97004,5.16178,4.12857,3.84759,7.57093,5.8532,5.05312,4.95845,6.14401,6.81693,3.85249,5.78538,4.29586,5.44655,6.1217,1
7.58736,8.05276,11.1993,5.0371,12.46,6.73078,6.30853,8.79783,4.77131,8.19731,5.40851,3.15478,5.23375,5.22086,6.67842,7.51633,6.51938,5.52516,4.54155,6.85168,7.05958,6.66993,5.70147,6.18401,6.08822,2.93699,4.24952,6.49384,4.53779,5.32131,5.34444,6.94061,3.94467,4.90654,5.5893,7.17772,3.62686,4.33456,4.96248,3.97924,3.36925,4.83922,4.99552,6.2106,11.4833,9.03633,5.74342,5.06027,5.14774,3.88919,7.04151,7.01652,5.27537,6.02368,5.78821,7.95961,5.67006,7.35313,6.8602,5.99473,4.30343,6.38356,5.06879,7.86079,5.13583,9.86772,6.10709,6.20768,8.52238,5.18754,6.29681,9.77317,6.5905,5.16863,4.77331,3.65083,7.56355,5.13277,6.81372,7.97659,6.9489,6.02354,3.58816,5.59378,3.95997,6.24246,6.00154,1
7.73618,9.25943,9.49666,6.15471,13.0234,8.17849,5.18814,10.7141,4.47865,4.47275,7.47494,3.39981,5.54439,9.10885,7.25259,10.0647,5.13508,5.38843,3.62424,8.31923,10.5954,5.5205,5.35008,7.0041,6.57268,3.27537,4.10932,7.49506,4.06282,4.31516,6.8989,5.34905,5.92059,7.26637,7.1747,7.3738,6.4615,4.40298,8.36665,8.31041,6.79568,4.78695,4.50983,6.23657,12.3045,8.14609,5.36881,6.61941,5.45374,4.09854,7.15036,7.78933,4.67245,12.5683,5.7124,7.06649,6.73836,8.29684,6.25973,7.21986,10.763,6.79904,5.58316,9.16812,4.30503,11.1485,5.97119,8.44419,8.87591,6.34921,6.63442,8.96822,7.39262,5.73795,7.53289,3.32758,7.08085,5.24522,5.6157,10.5103,6.38996,5.59163,3.89589,5.45234,3.84641,10.3046,8.56921,1
8.79166,9.78115,8.47532,5.94984,11.933,8.07232,5.86499,10.046,4.43194,3.83996,8.27541,2.99866,6.35668,8.2468,8.49572,9.41337,5.79473,4.47281,4.91071,8.65287,10.6538,5.38598,6.79098,5.81419,8.9145,2.93216,4.43593,6.6451,3.7677,4.42286,10.8107,5.75364,3.9258,5.66456,5.61763,10.1293,5.73936,4.0048,8.03695,7.58813,5.03578,4.42185,5.95081,5.35368,12.4297,7.83257,5.62376,6.44933,5.93962,6.34606,9.38575,7.10034,4.95198,13.4431,5.02829,6.10374,7.22529,7.91224,5.63036,5.78714,7.31757,4.32438,5.32058,10.2414,3.71597,11.5221,6.40374,7.29481,10.0988,6.36824,7.40756,9.67262,4.77313,5.81403,7.20774,3.66627,7.55608,5.78545,4.92113,9.05623,6.92228,7.34837,3.76878,4.95856,4.23301,7.56069,7.93656,1
10.2944174088551,8.16951331812963,10.4777006745068,10.2809375624641,8.24187201699617,12.2628261856687,10.6622455994339,7.7068829434069,4.68926278250725,5.35195870452269,8.24481262754562,3.95218112673158,5.59819075925406,6.79185199508951,9.02629805407447,5.65689855800327,9.93901610856795,8.39211517156415,5.85839254663145,6.33997350985453,7.60023784635895,8.12007665923692,5.66816414336338,8.07778243523559,4.56804140696932,3.89499334310347,4.84471385248812,6.81184700668205,3.95560841437279,7.31581443083861,5.198376409049,7.47434922608428,3.69929456086045,5.47586605027499,10.4845096966295,9.44913282183722,4.67268375218261,10.269642451921,6.89490542013576,5.09419657157338,3.96618623025728,6.25525860206284,5.71800356906775,8.29682404902137,10.898506978511,9.91038328794156,6.33740485279559,7.63772543352069,8.09325304283449,4.65413777014586,7.6224600288763,5.55588222445859,4.70572962283229,5.24262091838776,7.88442863062044,8.78161672382484,6.28369802949161,8.07982329155755,10.6977121582965,5.57098224656278,4.8363447605123,6.11808259023088,4.85219405192988,8.62885460678267,5.60325090145116,8.34483006636034,6.970198076237,4.88308763728669,7.58475000390585,8.74415102514715,7.99985640316553,8.51889018385712,6.50050665208631,7.20467448804921,5.63506925450769,4.43035803135682,7.94170553424438,5.20487650048919,8.69400345733399,4.18233069421143,6.7020145489545,5.773482595878,6.71238985660873,8.06029166983556,6.73901529666232,8.37486479608775,7.99037421880479,0
9.60209,8.49748,10.0458,9.42947,11.8804,11.4062,8.49677,8.52331,4.2254,7.67972,8.57746,3.2755,6.47203,10.0836,9.78155,8.83783,7.22753,7.59407,4.92113,8.00891,10.6991,5.83518,9.95863,8.22307,6.76825,2.99716,4.39729,12.1225,4.23606,5.63468,4.88647,7.56434,3.17392,10.12,6.11638,10.1621,11.2182,4.01583,12.2747,10.9852,5.76933,5.81842,9.08712,8.56128,12.4648,9.52101,5.75107,6.18953,5.3343,4.83466,7.3668,5.98426,4.14845,12.8207,5.98784,6.63699,6.42128,8.45722,11.6062,5.7756,9.57265,6.75109,4.71314,9.90581,4.97988,9.92687,6.1306,6.28252,8.87919,5.81807,6.62267,11.4839,7.16524,6.42017,7.05256,3.27124,7.60772,4.86424,6.94104,4.21291,6.36428,6.52664,6.36644,5.9987,4.66876,6.30786,6.29405,1
9.69105,7.67663,10.7012,10.1275,11.9704,11.9013,9.32593,8.07802,4.59157,4.03886,8.13485,3.62249,6.26266,8.12301,10.5503,7.21818,7.65612,8.80185,7.62677,8.04458,7.94197,7.83619,9.80009,7.93882,4.54217,2.79337,4.73798,10.6661,9.51178,7.84131,5.33994,7.77076,5.73013,9.37034,8.9655,10.4249,10.2757,3.80456,11.9034,11.4518,4.4032,5.48037,9.51742,9.98176,11.2939,8.27218,5.68398,7.02654,8.18536,6.20605,7.99959,6.54541,5.5107,8.82039,7.13824,7.84356,6.92668,8.04634,10.3068,6.95713,6.01281,4.37758,5.25555,8.37828,4.61206,9.59593,6.40026,5.50335,9.16409,5.04,6.0099,6.69251,6.68524,5.9014,5.22794,3.12791,7.55169,5.57146,5.07172,4.17292,6.34809,6.31908,6.62209,7.27021,4.03969,7.68934,7.60965,1
8.10975,7.74695,9.82296,8.3547,11.9093,8.01166,5.35422,8.09674,4.10916,6.78351,7.78843,3.18345,4.97003,8.65469,9.00437,6.37969,6.66968,5.88362,4.21154,7.93295,9.98993,8.23403,5.65834,7.6788,7.53327,3.05114,4.40202,6.69392,8.7829,4.75328,6.09237,6.23928,3.61255,6.40903,5.98031,9.34476,5.70561,3.41038,7.68711,6.7068,5.29503,5.24936,5.57233,5.8986,11.85,9.41467,5.77053,8.25706,5.1553,4.24109,7.92466,7.25142,10.0636,4.79983,5.6884,6.48356,6.19981,7.7601,6.16339,5.02195,4.53041,7.64191,4.50868,9.25314,3.59701,8.58579,6.26838,3.69975,9.84482,6.69812,5.21166,8.76828,6.38377,6.25172,8.54595,3.35885,7.44852,5.04505,4.78212,5.24396,6.6621,6.24091,3.48442,6.76849,4.88083,6.32163,5.96839,1
8.38281,9.04698,6.99395,6.42337,11.7912,9.23296,6.45194,8.47498,4.5134,8.33987,7.57948,3.42743,4.9222,9.85582,6.84659,8.91531,4.51657,6.86066,5.00783,7.99035,10.7082,4.18016,6.91458,7.25536,5.88451,2.78095,4.1555,8.53462,4.21132,5.19752,6.24293,6.9194,3.61715,6.65293,6.25315,8.3651,7.28927,3.54348,10.4097,6.65516,4.83359,6.0808,6.18248,6.05489,12.6425,7.48393,6.83522,6.95376,5.26116,4.38926,7.62886,5.64252,4.98797,13.231,5.4555,6.299,7.51877,7.94715,11.5982,5.41082,9.14305,5.25942,4.91298,9.67026,4.38044,11.0363,6.43133,3.99761,9.34898,4.75569,6.15083,11.4522,6.49634,5.46315,4.50845,3.34133,8.17196,5.47871,5.40308,9.46771,6.65752,6.42879,3.39931,5.4907,4.66444,5.11664,5.56873,1
