TSPAN7,LYN,JADE3,NPY,IRX5,ZNF423,TRAF3IP2,ABCC6,ADA,target
6.78351,9.00437,7.53327,6.09237,10.0636,4.53041,9.25314,3.59701,8.58579,1
8.33987,6.84659,5.88451,6.24293,4.98797,9.14305,9.67026,4.38044,11.0363,1
4.40198,10.1205,3.98312,4.72422,3.86261,3.78665,7.15775,5.24196,8.49543,0
9.09519,4.67418,6.28503,5.01208,7.3803,9.55191,9.06322,4.7446,11.9104,1
9.7748,7.34348,7.97234,4.1662,7.40695,10.9945,8.43998,4.04936,12.088,1
9.14051,9.03759,6.77183,5.25946,8.26362,8.95509,7.94178,4.6827,12.6298,1
6.12404,5.4308,5.05758,9.57386,3.9998,5.90692,8.28288,4.872,10.5947,1
4.34273,10.184,4.3193,4.64467,4.07536,3.86177,7.64432,4.76337,8.73542,0
4.62626,10.1688,6.95671,4.57887,4.52899,3.61602,7.73631,3.91666,9.4509,0
6.56075082571699,10.9474832866846,4.97982420836871,6.02197877563294,5.23069307626167,5.5925625043148,7.87728553544312,6.54254296569913,6.44786743375835,0
5.78696,10.1475,6.05427,11.0644,4.53321,4.9897,10.0051,4.2628,10.9789,1
4.14223,11.0691,5.47994,6.1674,3.95147,3.85905,7.72933,3.85539,10.5495,1
10.0271,8.60688,7.59106,9.24927,4.3982,8.95177,9.76433,4.41105,10.5719,1
4.15551,10.0708,5.15739,4.7001,4.26829,4.00832,7.74594,5.13786,9.89503,0
8.46356,7.74891,4.71951,5.0021,7.0335,11.2523,10.2143,4.78606,11.7073,1
4.37482,10.5859,5.65173,5.05607,4.01389,4.05235,7.60163,4.79577,9.24177,0
4.34897,11.1778,4.1113,4.29323,4.63885,4.09962,7.06012,4.9629,8.07197,0
9.18102033109058,7.99715841705314,5.80485472116133,10.2450652135894,5.46719791384341,8.12739419543113,9.86025720676795,6.31544174407307,9.29689830722956,1
4.22359,11.0701,4.33565,4.76952,3.74365,3.91123,7.84852,4.10895,8.36615,0
7.88911,9.58511,9.06727,8.7745,4.40171,8.80084,8.46611,4.37941,10.2049,1
4.06355,11.0537,4.65104,4.63046,3.94766,3.75006,7.91629,4.75039,8.89623,0
6.61751460380156,7.69986715569622,4.9802280918209,10.5784618900319,5.05704761016454,6.50736576241945,9.52520303261941,6.01950003147997,9.16379694079644,1
4.89864,9.62364,6.12465,6.9703,6.52867,3.75366,7.27683,5.32605,11.6898,1
3.87989,9.10844,8.35398,4.85884,5.70493,7.71742,8.979,4.08971,10.3399,1
7.16442,7.7822,7.17338,9.70331,4.35293,9.09385,9.95144,4.54509,10.1594,1
7.51964,9.55784,5.33944,9.13949,4.37528,7.87044,9.05984,4.70298,9.26618,1
8.57929,9.0655,5.61673,4.83212,4.79766,6.59672,9.3299,4.50495,9.95001,1
6.0526,3.70215,5.32327,10.2465,4.82914,4.96376,8.10947,4.07227,8.68922,1
3.78996,11.2698,6.78353,4.29895,3.55723,4.65672,7.42112,4.69013,7.7032,0
4.47581,5.465,4.19148,7.07474,4.50445,4.24614,5.72587,4.15271,10.9754,1
9.06745306958161,5.54212283298699,5.37010594937973,7.85978122568037,5.43130975495688,7.89644126692792,9.60717137963554,5.92426639718868,9.02261914677344,1
7.67605,7.75208,5.82523,5.266,3.95665,3.84643,8.26995,4.65682,10.7569,1
8.55641,10.9559,5.67953,7.44779,4.21279,6.63743,8.29219,4.90184,10.0794,1
5.8752916510091,8.91112990850316,7.35859588598745,7.24608252086792,5.67821499817083,7.05964845553614,10.8080135979081,5.89024746397283,8.06638530877647,1
4.11751,10.6651,4.71672,4.12213,3.80727,3.9535,7.94782,4.90721,8.97404,0
5.24154,10.9041,4.47252,4.31612,4.26986,3.72005,7.54411,4.51605,8.22187,0
6.63155,6.09217,7.08366,11.0947,4.50937,7.74369,9.02333,4.19796,10.3218,1
4.77503,10.9874,4.19268,4.32925,4.28871,4.11723,7.28235,4.91997,7.76391,0
5.42979,10.1668,6.42312,6.0909,4.43799,9.78421,9.1787,4.18691,10.4716,1
