SARS,CST3,AEBP1,LTBR,NRGN,TMEM243,MYB,RHOH,HOXB2,ADAM28,CD33,CD3G,HMHB1,HPR,PRKD2,PLAGL1,GATA2,SBF1,CD3D,CTSW,DHX32,GALNT11,MICALL2,ATP8B4,PAX5,RTN2,target
3.7467099999999998,11.2586,5.394080000000001,8.74549,9.28386,8.12593,10.2398,6.46769,8.47064,8.19134,9.69475,4.679880000000001,4.04494,4.93976,7.08905,9.46017,8.50549,6.11877,6.7442899999999995,7.42501,8.03918,7.84306,8.34807,9.15498,5.509530000000001,6.44546,1
6.2045,6.3061,9.57713,6.18125,6.14728,10.1761,11.5278,9.352160000000001,6.0391699999999995,5.23074,5.78737,5.67216,6.21753,4.25633,9.6361,5.86135,6.15235,8.70681,6.77986,5.71134,7.14918,6.1931400000000005,4.33582,3.5194300000000003,11.3374,4.97116,0
5.47735,6.36759,7.34934,6.711589999999999,6.37401,9.50221,9.07682,10.0925,5.07964,4.60061,5.848669999999999,4.685,5.98526,5.15035,10.3406,4.285909999999999,6.22982,7.75992,6.97801,6.35655,7.13767,5.13812,5.08325,3.5431800000000004,9.978860000000001,5.048830000000001,0
4.97541,11.2933,6.37256,9.19657,9.42186,7.229939999999999,9.00995,5.24092,8.359630000000001,7.62695,9.217419999999999,4.4722800000000005,3.88461,6.09115,6.808039999999999,7.3788,5.89786,6.44073,6.5936699999999995,6.87333,8.31488,7.49608,6.65146,8.330110000000001,5.46555,6.0875900000000005,1
6.567010000000001,4.706840000000001,6.74228,6.43692,6.86457,10.9203,10.6665,9.7811,6.26938,5.68271,7.23422,5.214840000000001,5.62177,5.1869,6.55955,6.2021,9.80054,5.56473,7.6551800000000005,4.89388,7.901839999999999,5.6826,4.78408,8.14687,8.45003,6.0606599999999995,0
2011.68596634395,305.94709135097304,541.447493034862,230.3458311024,943.732631647404,591.399376767993,6771.13048857626,5844.78648016312,714.758332377406,337.96381658981096,2433.5327827767896,456.15804665769303,17.2633088819995,4.93620202790783,3502.05883048909,831.2443947562531,2758.0449522620097,7020.905949254549,2773.57902577784,1721.99854005436,157.393135376939,192.449786317552,429.675627070067,2019.0074865919198,2189.62830219025,136.65474197477502,0
6.84922,8.01861,7.977710000000001,7.49102,9.99098,9.98283,10.3919,10.5751,8.602839999999999,6.40972,6.15428,6.623419999999999,6.2870800000000004,5.66699,9.13841,6.30673,10.2239,7.30324,9.83581,8.7682,7.35177,5.94757,5.866709999999999,3.50316,10.3149,6.24302,0
4.1866,9.54064,7.546060000000001,8.8863,7.1447199999999995,7.57135,8.945780000000001,9.17371,8.794880000000001,6.0225800000000005,8.215860000000001,5.380780000000001,4.26976,5.25588,6.31529,8.519680000000001,11.2483,6.50326,7.67802,9.25675,8.31063,6.58878,7.1172699999999995,3.5083,4.40562,7.353289999999999,1
6.20429,7.592230000000001,7.108,6.6837800000000005,5.6635800000000005,10.0347,10.3634,9.70282,5.58169,5.29251,6.231730000000001,5.58322,4.916869999999999,4.84999,9.49478,5.50251,7.03375,8.135489999999999,7.545210000000001,6.9397199999999994,7.3934,5.82963,4.70878,3.44461,11.3906,4.97621,0
1262.86798635288,5700.19423229343,646.937253789665,1389.60206560742,29.030181921449,347.789477934272,11884.9632244838,6807.36359438286,1425.99160630043,2458.55869900832,1444.12633972654,45.415447838728,0.0,1.4230730294321499,1732.7213432784301,4306.94111024424,4074.3392507869103,3673.5280354818397,26.455583221413196,1270.4789214144698,711.362570471788,807.447048172995,1672.0690687099802,12522.7791456059,83.0094916287848,102.263119057648,1
5.3909199999999995,11.1802,6.012230000000001,8.61036,8.51566,8.388060000000001,9.49494,8.41446,9.03069,7.99525,8.67563,5.8506,3.9641,6.29825,7.22495,7.76042,6.8246,5.877730000000001,8.09714,7.30974,8.16319,7.201339999999999,6.58328,7.5537399999999995,4.32559,6.692089999999999,1
9.0755157967964,7.555278090725451,8.227806593828571,7.00101105474809,7.23562391195417,9.044627234764251,12.2416387938099,10.041777930817199,6.70978167668265,5.4902661287104,7.18158208250677,6.7095692518102,5.73768379067895,4.87694827192846,8.615851797996768,6.2684488835798895,6.53776665213997,6.95276565224755,9.8744896181174,8.48386575215309,7.65135349060505,5.25314849022472,5.598964609928651,4.32906932235184,11.0501229249662,5.8524491780213,0
3.6851199999999995,11.7517,6.46454,9.30916,8.51559,7.2142,10.1927,7.111680000000001,9.73269,5.61499,9.13084,5.27538,4.02128,9.255519999999999,7.24172,7.6506,6.99573,6.6255,6.83966,8.80292,8.03,7.88305,6.51631,7.676360000000001,4.453180000000001,6.521059999999999,1
4.63319,9.17983,9.54146,7.272539999999999,6.85195,7.926710000000001,10.8169,10.6557,8.47487,5.78062,6.28095,8.520719999999999,4.51317,5.64509,8.46893,3.6394,7.61534,7.1224,12.25,7.74665,7.58948,5.614719999999999,5.74519,3.4788099999999997,4.62061,5.56136,0
6.96089113725474,6.65261821615569,7.50817775939983,7.630714873836349,7.211998497923241,9.54845549691989,9.22362748965697,9.87522808243038,6.24885766629152,5.08190387848014,7.45991809327816,6.57775930874966,5.22767218614313,5.442550744691419,9.304841926131811,4.72128215646521,9.296632093403678,7.46067111072814,7.7214397379409405,7.22493871849986,7.74603541279138,5.36417592328429,7.00182203264506,4.07017469905911,10.0387025035894,6.173814681985849,0
7.92327253199638,7.56507425934726,6.52021149450276,7.044927194155849,7.6242322804068205,10.3558754139485,9.58826444514608,9.05362207285482,7.41766764731167,8.04836710830714,7.52349910197138,7.05378207896317,4.94494894647965,5.34042719119849,6.47034213994994,7.60174353937986,6.86670845145751,6.62543947292448,8.15950165426996,6.96402600555264,8.33878909613501,5.795723701101429,5.79234685882631,5.33649937877577,10.1224578773329,5.9424057534782895,0
8.81164905322915,7.67077407123536,9.99924048941554,6.60796921817534,7.99155413193118,9.09752729734875,11.072058566121099,8.35280539962266,6.30257594981348,5.22450985491152,7.010702242020531,6.187106915766099,6.38413536956519,5.3442750391934,9.384429895975849,5.71135851306739,6.85991824630746,7.29125008678607,7.74985928810709,7.3381135181829595,7.57256282809944,5.16369543261741,5.977395379766969,4.365652670557419,10.055995956839599,5.96535888648505,0
