WARS,SDCBP,CST3,COL3A1,RER1,MATN2,IFI27,DBN1,C1QB,SMARCD1,JADE3,MEOX1,EREG,PF4,APMAP,DEFA4,CRISP3,NAALADL1,S100A11P1,ANXA2P2,CES1P1,SEC31B,GABPAP,IRX5,ATP6V0A1,GPS2,GYPB,TRAF3IP2,ABCC6,SCNN1A,ENAH,MED28,TMEM106B,DPPA4,L2HGDH,VRTN,FOXRED2,ASTE1,SEMA4C,PRR5,target
7.58644,10.0872,5.69383,3.8757800000000002,7.5332,3.1883,5.92237,10.0179,3.6174699999999995,8.12229,9.1639,4.09389,3.4136699999999998,5.20655,7.014060000000001,4.98799,2.9107,4.8566400000000005,5.53905,8.21699,4.63727,8.13175,7.2285699999999995,6.817239999999999,5.5147699999999995,7.94504,6.7239,9.89451,3.97669,6.30207,6.69383,6.20654,7.56682,3.04703,5.85229,6.267869999999999,7.3487100000000005,6.8872100000000005,7.81337,5.77811,1
7.17882,8.57462,7.51203,4.50839,7.24683,3.26752,5.892580000000001,8.25889,3.91592,8.47917,8.15952,4.394340000000001,5.10044,6.48822,9.2412,6.553710000000001,3.11841,4.77166,5.58053,8.41057,4.7592,7.3887,7.4574300000000004,5.13164,7.40647,8.57408,7.89213,9.33911,4.2234,5.3581900000000005,6.2176599999999995,5.83098,7.7773699999999995,3.24399,5.051,6.19194,6.704280000000001,4.3032,6.12193,6.23844,1
8.11437,9.8417,9.63627,3.8921099999999997,9.45454,3.3686800000000003,5.45549,7.90145,4.135,7.31756,7.44843,3.86025,9.686119999999999,5.88251,9.22787,5.01203,3.1736,7.09742,6.49716,6.93277,4.8023,5.34133,5.16308,4.2087,7.92295,8.96387,5.64805,8.43121,5.47208,5.21748,6.24159,8.70166,8.87425,6.91228,4.95553,5.8623199999999995,6.80842,7.14803,8.31676,9.55297,0
8.59254,7.32353,7.350160000000001,4.40284,7.684539999999999,3.4409300000000003,4.87133,9.31452,4.0475699999999994,7.7015,5.36833,4.13287,3.8010300000000004,6.2225,9.17689,5.05729,3.10623,5.27693,5.66202,8.52944,5.75429,6.94032,7.1409,4.45405,6.4680800000000005,9.42549,4.72243,9.27011,4.124,5.60044,7.8268699999999995,7.46548,7.19187,3.37059,4.94161,6.16654,6.61106,6.47087,5.77808,6.696960000000001,1
8.48523,9.2999,5.10034,4.417330000000001,9.03421,3.1125,5.21361,6.4827699999999995,4.59037,7.55622,6.37404,4.56264,3.6041800000000004,5.097580000000001,8.99643,5.16969,3.13142,4.44947,5.7138,10.9798,5.3515,7.2832,6.3001,5.29207,6.59398,10.3805,5.67472,10.0686,4.17244,6.77607,3.84036,5.5662400000000005,7.58149,2.97254,4.88283,6.70162,6.2560400000000005,6.09042,5.62439,6.19335,1
9.281460000000001,10.1909,5.39644,4.00134,8.89625,3.07784,5.6998,7.38715,4.45425,8.208219999999999,6.00014,4.56909,4.267530000000001,5.4154800000000005,10.7134,9.8491,5.73212,4.29131,6.506419999999999,10.3684,5.06285,9.19934,6.07186,8.18909,7.695860000000001,7.7262699999999995,6.7022699999999995,9.70478,4.44205,5.46531,4.08654,6.2666699999999995,4.2205,3.09065,5.49458,5.602469999999999,6.67904,6.108230000000001,6.8266,7.027080000000001,1
6.98455635668588,8.195142382054401,7.67527349513951,5.22475786345933,7.58823841691476,4.12923702614556,6.527917246244921,9.429877735925801,5.55564316566367,8.10851611408822,6.32420919535314,4.31995960831734,4.1090455375773995,7.1959304633111,8.545607307972901,6.97516373173395,3.94860199851711,5.34857525587699,7.6082690357247404,7.78668855227502,6.355452521267719,7.65778330961185,5.98620742282868,6.3899539739924,7.791400342517999,7.80956837211854,6.90243618044561,10.2848463979281,5.98620742282868,6.2219873569065,6.11478478309093,7.66888917632381,4.74601097412239,4.54151587260181,4.73091590483195,6.458473077089231,7.36375354967659,6.877583038521429,7.82840511514706,7.37694237515405,1
10.072000000000001,12.0271,9.900039999999999,4.00378,8.970289999999999,3.38084,5.2264,6.19979,4.98896,6.84455,4.65672,6.4585,6.06883,10.8346,10.1997,6.57837,5.37913,5.46009,8.96075,10.8649,7.518910000000001,5.6102,6.5558,3.9854,7.41022,7.75351,4.85492,7.94952,4.30133,5.32619,3.9446800000000004,7.781000000000001,9.04739,3.2837400000000003,4.7121699999999995,5.839180000000001,5.7548,7.73562,7.34058,7.0608,0
8.04392,9.35083,4.8067,4.04494,8.86755,3.4534599999999998,5.44261,8.24922,4.599419999999999,7.39389,6.105090000000001,4.33354,4.74541,5.40359,9.03483,10.6032,7.1353100000000005,4.52324,6.76745,9.6622,5.04292,7.89985,7.125430000000001,5.5711,7.028230000000001,7.724760000000001,7.453710000000001,10.4016,4.076969999999999,6.2225,3.67055,6.815010000000001,7.58247,2.94135,5.38151,6.48339,6.16783,6.2509,5.38437,6.36905,1
6.93474,7.97492,7.197889999999999,4.98032,7.82365,3.5399300000000005,8.993910000000001,9.36893,4.14225,8.10695,5.64809,4.40562,3.5011099999999997,6.814489999999999,8.10644,5.53372,2.9884,5.23489,6.053319999999999,8.01678,4.84702,8.04064,7.03803,4.51701,7.3342,9.65644,6.40994,8.698,4.24944,5.93922,6.487830000000001,4.32333,7.30727,3.54737,5.48632,5.00097,6.354480000000001,7.20595,6.7828800000000005,7.355630000000001,1
8.4657,9.69576,7.65775,4.2278,8.93816,3.34942,4.53474,10.5528,4.35674,8.74108,8.298169999999999,4.57664,3.44351,4.85599,8.09634,5.05849,2.93614,4.72351,6.37879,9.44384,4.7847599999999995,6.92342,5.89495,4.00839,6.47353,7.53954,5.21109,9.74704,4.3703199999999995,5.91795,6.14158,7.375380000000001,7.690589999999999,3.2534099999999997,5.21664,5.59781,6.935989999999999,7.26399,8.683639999999999,7.54815,1
6.865092624767151,8.93361721476728,4.39030803938487,6.12054343831583,7.13964858057897,4.51398268043026,7.12552857027707,7.8616002283183395,5.903226755574241,7.471742703003191,5.90828148901362,4.21173219791858,4.8421550417975805,7.56123415849857,7.930819612480941,5.7500331481659295,4.12990208992627,5.55153124707793,7.13360076294127,8.83955347654422,6.28815277325341,7.90599935936346,5.67996666251897,5.319583696204281,8.24271670398206,7.75466079509024,8.74636693219021,9.593174977257,5.78533193293628,5.638574432143391,6.947247024236571,6.124216788738769,5.400793405741809,5.73374109058957,5.06053731520526,6.362680747800731,7.76875964837838,6.98992271621284,7.20689117653333,7.38445665049058,1
5.93469,7.23367,5.55699,5.6205300000000005,7.8397,3.44297,5.53258,8.43298,4.58049,7.31453,5.68099,5.00513,4.103280000000001,6.00845,6.75967,5.24563,3.5136199999999995,5.21619,6.29899,8.19619,5.6207400000000005,7.35602,6.0401,4.59589,7.70436,10.0524,6.25864,8.02968,3.7321800000000005,7.18642,6.23311,6.49691,5.10419,3.7842300000000004,5.6691400000000005,6.854480000000001,6.90292,5.505719999999999,7.05726,7.042960000000001,1
8.212010000000001,10.7822,4.81532,4.23745,6.34401,3.68226,8.257639999999999,9.225439999999999,3.8337199999999996,7.083589999999999,4.60188,4.414219999999999,5.23484,5.666519999999999,8.82432,5.27271,3.03926,4.7769699999999995,5.64251,8.685789999999999,5.9111199999999995,7.181010000000001,6.46627,6.22469,7.25816,7.61298,7.76507,7.801760000000001,4.072,5.39351,4.185219999999999,5.88014,8.14447,3.34055,5.11278,6.11372,5.89813,6.37672,5.58397,6.05106,1
8.84417,11.1786,9.08204,4.3722,7.722519999999999,3.35074,4.67778,9.65588,3.72215,8.38972,6.83892,3.92725,7.941269999999999,5.79911,8.95187,10.6888,8.33305,4.224130000000001,8.27143,9.789639999999999,6.250859999999999,8.70234,7.36666,5.36068,6.9527,9.467260000000001,5.8838099999999995,8.88465,4.37155,4.40841,5.922969999999999,6.4410099999999995,9.32527,3.7204,5.0968,5.207990000000001,5.80578,6.81065,7.255269999999999,6.56745,1
9.97219,11.8538,9.3075,3.79705,8.8878,3.26234,5.07059,6.904,3.57553,7.15632,7.5036,5.44054,4.9534400000000005,9.9633,10.038,5.64721,3.27984,5.70935,7.77035,8.712639999999999,7.393330000000001,7.89582,6.27969,3.06529,7.2168600000000005,11.6678,4.81499,7.141889999999999,4.0563400000000005,5.07118,5.34543,9.81038,9.27633,5.53262,3.93301,5.48573,5.85957,7.21237,7.26852,8.20957,0
7.57454213474588,8.91284478387693,6.07728895412776,5.095904256892981,7.52785033557432,4.17401569745378,11.560413004231801,7.936524525008969,6.06061405809396,7.48262032603636,6.53795725675765,4.11229481137963,4.0247969245235,7.4596771887903,8.60225814176899,6.33469978426309,3.9522591446547097,5.106344855748519,7.05101859932414,9.712385076643368,6.19589452067616,8.50183526300457,6.585355169519469,5.51313084886437,7.9690202714172,8.33367846807028,9.086289639985859,10.4438117964725,6.15289550579753,5.99159801568096,5.6253893159547195,8.076846732631848,5.05334426899352,4.56785588093478,5.08591949604768,6.44343541982221,7.25255190097932,6.97242326283499,7.10981109494784,7.68341545874138,1
10.9943,11.8226,11.5182,4.29915,9.57324,3.20994,5.34131,6.4015699999999995,4.67274,7.33144,4.82763,6.34072,4.5803400000000005,12.0846,10.1724,7.6060300000000005,3.08974,6.565989999999999,10.2549,10.3359,8.75128,7.653389999999999,5.9126900000000004,3.7029300000000003,7.969710000000001,7.6722,5.12223,7.5278,5.53784,5.6626900000000004,3.9066,7.426639999999999,7.29283,3.8824699999999996,5.049580000000001,6.404,5.72296,7.57068,8.15428,7.610239999999999,0
7.8078532660605395,8.665019604152981,7.063211046377259,5.37808671824813,7.30293993208063,4.192423621216269,6.756782608565019,8.32338608012148,5.6883708104238,7.6142492625481,6.98357177938785,4.11938194270862,4.11780757724569,7.18571528620934,8.5526205357682,7.62394553428662,4.13976857428161,5.7560998783100095,7.32062786274432,8.2025933056135,6.12337010087396,7.42096472235428,5.9220125565927395,4.88965937769556,7.8262893599025,7.58954615790537,7.610436619374269,11.109585413080001,6.140860558209551,6.464651745926781,5.47716461520352,7.36061580864755,5.056099579155,4.537091907158599,4.67213167670701,6.618634744026751,7.22724786654134,6.7244764096501894,6.85555407251345,7.020208415245401,1
7.93762750304837,8.31888593352299,6.49607037944038,5.56039743222525,7.74865124420401,4.1406993500221,6.38804848193976,8.7356081177383,5.12867602293996,7.97867583955101,6.164939666065299,4.20668050751613,4.23150273218248,7.218177789471611,8.67503269374682,6.26402314295066,4.10662874869024,5.29779154426283,7.36296078204146,7.88970458891332,6.08557858804826,7.8516198214248805,6.44959452173292,6.6039838569152405,7.977173159800769,7.69067859367966,10.3116401474973,10.6486479489679,5.79285428170641,5.67143868724512,5.2303051987306795,6.91613556194283,4.85884602971538,4.83669068169766,4.69730966236283,6.51676460422025,7.009903545198929,6.5594955631753304,6.97047977023615,7.4155807616801,1
9.25558,12.4304,10.8342,3.9207400000000003,9.36636,3.4590099999999997,5.08575,5.80484,3.91816,6.65845,4.53388,4.655530000000001,3.33678,10.2821,10.5356,8.90211,5.48688,5.673430000000001,10.8483,10.1386,7.44497,6.8877,5.8271,3.93995,8.109910000000001,8.354410000000001,6.66409,7.3163,4.92697,5.3284400000000005,3.87765,6.950010000000001,9.58863,3.31092,4.92243,5.98717,6.26663,7.9809399999999995,7.58765,7.645689999999999,0
10.4567,11.7623,11.3739,3.96349,9.08109,2.90624,4.78303,6.368180000000001,5.10628,7.31115,4.48471,5.1650599999999995,4.80399,10.8825,9.92203,7.14363,3.51654,6.187790000000001,9.9941,10.3883,8.67718,6.4865900000000005,5.76082,3.68349,7.65308,9.09577,4.66179,7.8929,5.2091,5.7817,3.7656699999999996,7.30991,10.0686,3.44599,5.422540000000001,5.86754,6.054180000000001,7.890619999999999,7.6391800000000005,7.86892,0
